SK_ID_BUREAU,MONTHS_BALANCE,STATUS
8675,-51,Closed
4072,-29,Unknown
13858,-5,Unknown
14949,-54,Closed
4450,-31,Closed
11757,-15,Closed
95,-31,Active
10822,-11,Active
13525,-29,Unknown
6298,-59,Bad debt
7690,-44,Bad debt
9083,-41,Active
2558,-15,Bad debt
5575,-55,Unknown
8735,-4,Bad debt
8936,-17,Bad debt
9723,-12,Active
11141,-56,Active
14975,-34,Active
12711,-60,Bad debt
8940,-52,Closed
8999,-23,Active
2935,-15,Active
9424,-50,Active
5337,-2,Closed
867,-30,Closed
3892,-37,Active
10808,-3,Unknown
14524,-26,Unknown
7728,-23,Unknown
7639,-25,Unknown
14501,-51,Bad debt
1419,-30,Unknown
7008,-39,Unknown
84,-7,Unknown
3113,-20,Unknown
3705,-45,Unknown
12416,-6,Active
1941,-23,Closed
8638,-46,Closed
10150,-22,Unknown
9593,-37,Closed
13242,-54,Bad debt
12321,-8,Active
2817,-55,Active
7386,-28,Active
10855,-40,Unknown
14712,-47,Active
8176,-30,Active
4081,-37,Unknown
12179,-7,Unknown
10600,-15,Closed
2007,-20,Bad debt
2183,-28,Closed
1099,-55,Active
929,-56,Bad debt
10864,-36,Unknown
10063,-26,Bad debt
12092,-15,Active
880,-7,Closed
13964,-29,Bad debt
8537,-24,Bad debt
7406,-44,Active
1412,-1,Active
4849,-49,Active
3911,-51,Active
7754,-20,Unknown
10437,-13,Closed
8568,-10,Unknown
3890,-31,Active
14294,-47,Closed
11924,-40,Unknown
11097,-2,Closed
14896,-33,Active
3960,-56,Closed
9293,-22,Closed
9246,-7,Unknown
4538,-20,Unknown
2026,-60,Unknown
9755,-9,Closed
12001,-50,Active
11372,-55,Unknown
8379,-51,Unknown
225,-40,Closed
11312,-39,Closed
13122,-15,Unknown
2082,-16,Active
3013,-7,Unknown
10293,-26,Bad debt
8827,-8,Bad debt
6910,-17,Unknown
5850,-21,Active
12598,-47,Active
9952,-58,Closed
9103,-43,Bad debt
5853,-33,Unknown
4188,-37,Unknown
12141,-16,Unknown
9903,-54,Bad debt
4354,-54,Closed
371,-44,Unknown
4011,-12,Unknown
6682,-32,Bad debt
13251,-42,Active
7838,-29,Active
3197,-5,Closed
5378,-41,Closed
5764,-30,Unknown
2970,-41,Unknown
3223,-47,Closed
1218,-5,Bad debt
13603,-40,Active
8163,-12,Unknown
13797,-15,Unknown
7061,-3,Unknown
1224,-14,Closed
11061,-14,Bad debt
11169,-10,Bad debt
8499,-52,Active
8657,-37,Active
10163,-52,Closed
1650,-55,Closed
11295,-55,Closed
503,-29,Bad debt
8257,-10,Bad debt
13069,-31,Active
13005,-37,Unknown
9527,-37,Closed
123,-36,Unknown
3980,-20,Unknown
6238,-48,Active
11582,-2,Active
9305,-19,Bad debt
8665,-38,Active
208,-28,Active
8671,-59,Closed
3441,-17,Bad debt
12281,-52,Active
5213,-55,Closed
8479,-27,Active
13870,-53,Bad debt
9293,-26,Bad debt
8107,-45,Closed
6138,-33,Closed
8612,-25,Unknown
12194,-18,Unknown
6898,-12,Unknown
988,-20,Unknown
3941,-59,Unknown
3270,-33,Bad debt
4517,-56,Bad debt
5509,-3,Active
6031,-58,Unknown
9264,-32,Closed
9134,-56,Closed
9236,-18,Unknown
4069,-27,Closed
8787,-54,Unknown
7012,-48,Unknown
11581,-11,Active
13836,-50,Closed
2490,-41,Unknown
3874,-28,Unknown
4587,-3,Closed
1871,-56,Unknown
212,-44,Closed
12280,-1,Closed
12245,-26,Closed
12580,-24,Active
2832,-57,Active
10099,-3,Closed
8110,-6,Bad debt
3566,-17,Active
4541,-1,Closed
3981,-25,Unknown
4189,-50,Unknown
14065,-55,Closed
1211,-8,Active
7735,-6,Closed
6753,-30,Bad debt
12962,-22,Active
9415,-45,Bad debt
13935,-36,Bad debt
14309,-13,Unknown
10100,-2,Bad debt
12603,-33,Bad debt
4232,-50,Active
9905,-11,Closed
5623,-51,Active
12753,-57,Closed
3821,-7,Bad debt
11167,-59,Unknown
14982,-51,Closed
13146,-50,Closed
10620,-54,Active
10395,-24,Closed
13824,-7,Unknown
2325,-41,Bad debt
12547,-24,Bad debt
8019,-21,Active
5250,-40,Bad debt
879,-31,Active
2165,-7,Closed
2256,-24,Closed
8605,-45,Active
13735,-36,Closed
10434,-44,Bad debt
9184,-54,Bad debt
1833,-4,Active
7460,-22,Closed
4524,-16,Closed
7561,-52,Bad debt
6703,-30,Unknown
6849,-51,Closed
11780,-17,Active
6080,-40,Closed
13058,-38,Active
11578,-14,Unknown
14802,-46,Unknown
13666,-15,Unknown
6953,-24,Closed
1290,-18,Unknown
5856,-28,Active
9514,-29,Bad debt
12134,-11,Closed
3159,-28,Active
2934,-51,Unknown
9616,-41,Closed
5147,-16,Bad debt
12109,-6,Closed
11731,-3,Unknown
3750,-37,Unknown
2890,-47,Unknown
7563,-2,Bad debt
676,-59,Closed
11232,-30,Unknown
7868,-1,Unknown
9348,-25,Bad debt
14462,-6,Closed
4981,-54,Active
4462,-21,Bad debt
8174,-48,Active
13021,-45,Active
12904,-5,Closed
10657,-11,Bad debt
14179,-17,Closed
8534,-15,Closed
10975,-56,Closed
9492,-8,Bad debt
7387,-4,Closed
3746,-46,Unknown
13638,-18,Active
1041,-59,Closed
13276,-21,Bad debt
2804,-56,Closed
4658,-56,Active
13963,-27,Bad debt
7887,-41,Bad debt
165,-7,Bad debt
6996,-29,Active
7952,-53,Closed
3539,-21,Unknown
5272,-54,Bad debt
14887,-1,Active
13710,-28,Active
11384,-34,Active
8644,-47,Active
11858,-27,Unknown
3031,-17,Bad debt
8739,-22,Closed
5480,-31,Unknown
2363,-28,Unknown
11864,-60,Bad debt
3271,-58,Bad debt
6937,-42,Bad debt
11356,-5,Closed
11077,-35,Unknown
13240,-24,Bad debt
4723,-42,Unknown
201,-31,Unknown
10434,-8,Bad debt
1544,-32,Active
9666,-31,Bad debt
11440,-11,Active
4518,-21,Active
6062,-59,Bad debt
14969,-13,Closed
3723,-18,Closed
281,-4,Bad debt
259,-53,Bad debt
5051,-40,Bad debt
668,-52,Closed
7230,-52,Unknown
2176,-10,Closed
13459,-50,Unknown
1853,-47,Bad debt
11605,-38,Bad debt
9663,-49,Closed
1618,-4,Bad debt
10630,-49,Unknown
572,-28,Active
3378,-50,Unknown
14142,-47,Bad debt
8811,-1,Active
13569,-40,Active
11475,-54,Active
6958,-47,Active
9167,-50,Unknown
8780,-56,Closed
5860,-19,Unknown
10740,-4,Unknown
3212,-49,Closed
3403,-27,Closed
6832,-48,Active
9719,-18,Active
795,-2,Bad debt
13635,-42,Active
10259,-34,Active
14997,-24,Bad debt
4477,-53,Unknown
6795,-47,Bad debt
12768,-38,Unknown
6934,-44,Bad debt
10480,-57,Unknown
6898,-57,Bad debt
14392,-12,Bad debt
1508,-57,Unknown
777,-19,Active
13673,-32,Unknown
6220,-38,Unknown
9382,-32,Bad debt
5263,-31,Closed
9547,-24,Active
6999,-54,Active
5788,-42,Active
4356,-16,Unknown
11909,-15,Bad debt
8035,-2,Unknown
14928,-51,Closed
12309,-50,Closed
1592,-39,Bad debt
5358,-42,Active
12370,-39,Closed
12016,-44,Unknown
640,-41,Bad debt
14064,-27,Closed
14513,-51,Bad debt
11884,-6,Active
399,-23,Closed
6566,-31,Bad debt
7965,-29,Bad debt
5456,-11,Unknown
6075,-29,Active
14479,-21,Closed
8796,-5,Bad debt
10665,-47,Bad debt
3809,-45,Closed
6005,-22,Unknown
8065,-17,Active
8136,-52,Closed
11391,-41,Bad debt
8129,-47,Closed
12273,-17,Closed
14166,-25,Unknown
3519,-29,Active
14704,-22,Closed
6915,-14,Unknown
2453,-7,Active
11320,-13,Bad debt
5159,-21,Closed
14700,-2,Closed
13893,-37,Active
10976,-30,Closed
9670,-51,Closed
7932,-33,Active
5397,-26,Bad debt
12975,-49,Closed
2567,-57,Active
14721,-59,Unknown
10086,-20,Active
6903,-13,Unknown
7674,-51,Unknown
1628,-21,Unknown
2936,-50,Closed
9652,-30,Unknown
7468,-47,Bad debt
11136,-36,Unknown
3355,-12,Bad debt
3728,-48,Closed
11174,-51,Closed
5553,-51,Bad debt
10404,-10,Active
10342,-16,Active
14943,-3,Bad debt
2071,-31,Bad debt
4211,-49,Unknown
12026,-41,Active
7516,-7,Closed
2285,-2,Closed
7244,-32,Bad debt
13338,-46,Bad debt
4703,-5,Unknown
8311,-57,Closed
14741,-46,Active
5980,-60,Bad debt
13485,-29,Bad debt
2090,-13,Active
6196,-30,Active
5110,-6,Active
11970,-3,Bad debt
11131,-13,Closed
12398,-56,Closed
6422,-20,Bad debt
11319,-43,Bad debt
14727,-51,Active
13038,-57,Unknown
14191,-6,Active
5949,-36,Closed
1452,-15,Bad debt
12148,-16,Active
9175,-53,Bad debt
10297,-25,Bad debt
2023,-59,Active
3124,-43,Active
7608,-2,Closed
5374,-55,Active
3358,-13,Unknown
1477,-21,Unknown
5993,-3,Active
3280,-24,Active
9217,-46,Bad debt
10306,-43,Bad debt
10758,-60,Closed
14368,-49,Unknown
4755,-13,Closed
165,-44,Bad debt
3611,-14,Bad debt
10065,-53,Active
1566,-50,Active
14454,-48,Unknown
1648,-2,Closed
1222,-28,Closed
12597,-47,Unknown
14905,-39,Bad debt
6446,-40,Bad debt
13628,-20,Unknown
11118,-51,Unknown
4160,-37,Active
8763,-32,Closed
13141,-45,Unknown
2613,-19,Active
2255,-33,Unknown
4090,-10,Active
8529,-3,Active
12850,-58,Bad debt
5281,-59,Active
7376,-55,Active
4045,-10,Closed
3281,-25,Closed
10777,-45,Active
10520,-49,Bad debt
8821,-10,Active
1305,-52,Closed
10575,-4,Bad debt
5260,-14,Bad debt
3278,-43,Active
1783,-28,Unknown
153,-17,Bad debt
6462,-57,Active
4383,-38,Unknown
1838,-46,Active
13321,-29,Closed
14049,-48,Unknown
13912,-14,Bad debt
977,-9,Active
2110,-50,Unknown
6479,-41,Active
13493,-31,Bad debt
2538,-52,Closed
7417,-6,Unknown
1686,-55,Active
12278,-7,Unknown
13059,-6,Bad debt
11021,-21,Active
11009,-46,Unknown
2151,-33,Bad debt
10358,-45,Unknown
14574,-53,Active
8870,-52,Unknown
6215,-14,Active
5445,-32,Active
4821,-1,Bad debt
11683,-7,Bad debt
14198,-26,Closed
14713,-9,Unknown
12679,-48,Bad debt
13391,-43,Bad debt
8600,-25,Bad debt
8762,-52,Bad debt
1000,-12,Active
13364,-60,Closed
11427,-44,Active
5979,-2,Closed
8890,-25,Unknown
13705,-60,Unknown
10700,-54,Bad debt
1548,-10,Unknown
2648,-27,Active
13953,-27,Closed
8445,-27,Bad debt
3733,-59,Closed
3117,-42,Unknown
911,-27,Active
3735,-30,Unknown
11737,-1,Closed
25,-40,Active
9560,-51,Closed
5340,-18,Unknown
6579,-31,Closed
4619,-28,Closed
6026,-54,Closed
9512,-20,Closed
11604,-9,Active
11761,-23,Bad debt
9595,-50,Closed
2311,-42,Active
1278,-42,Bad debt
1942,-25,Closed
14663,-35,Bad debt
7452,-21,Active
2892,-60,Closed
11302,-55,Active
10529,-38,Bad debt
9347,-45,Bad debt
5737,-15,Bad debt
7600,-35,Closed
9889,-46,Active
2323,-30,Unknown
9583,-38,Unknown
6041,-37,Bad debt
9987,-39,Unknown
10262,-4,Closed
12400,-45,Unknown
8129,-29,Active
12348,-3,Unknown
2789,-47,Bad debt
2179,-59,Active
3015,-18,Unknown
3149,-13,Active
2883,-20,Bad debt
12449,-36,Unknown
11385,-19,Unknown
11581,-30,Closed
551,-28,Bad debt
12207,-44,Active
12314,-14,Unknown
13035,-30,Bad debt
3460,-33,Bad debt
14757,-27,Bad debt
14108,-57,Closed
9598,-20,Closed
10664,-17,Bad debt
317,-35,Closed
10632,-42,Unknown
14818,-31,Bad debt
8134,-2,Active
9448,-28,Unknown
11401,-50,Bad debt
5213,-49,Active
14115,-48,Bad debt
13163,-49,Closed
8299,-5,Active
5850,-22,Unknown
14140,-57,Unknown
1301,-33,Unknown
13029,-38,Closed
577,-11,Unknown
14069,-1,Closed
11036,-53,Bad debt
4402,-58,Closed
6315,-57,Unknown
8137,-9,Active
9326,-31,Active
7508,-25,Bad debt
320,-59,Bad debt
4951,-1,Closed
4141,-7,Unknown
7119,-17,Bad debt
5228,-44,Unknown
73,-57,Unknown
3937,-28,Bad debt
2908,-16,Active
2178,-29,Active
7085,-5,Bad debt
5816,-30,Closed
289,-54,Unknown
11611,-43,Bad debt
1823,-17,Bad debt
14220,-41,Active
12785,-59,Bad debt
2483,-3,Active
11445,-2,Unknown
2206,-3,Closed
6917,-16,Active
281,-6,Closed
6056,-19,Active
14679,-20,Unknown
4323,-43,Bad debt
1070,-44,Unknown
8926,-44,Unknown
347,-23,Unknown
12991,-13,Active
4233,-5,Active
5298,-35,Active
9502,-28,Closed
2395,-45,Closed
866,-39,Unknown
5891,-20,Active
7893,-13,Unknown
14376,-27,Unknown
8575,-59,Bad debt
6803,-53,Unknown
10240,-24,Bad debt
9202,-27,Bad debt
11005,-51,Closed
4738,-4,Active
12077,-48,Closed
14289,-46,Active
8419,-57,Unknown
4835,-2,Closed
6742,-46,Unknown
8720,-44,Bad debt
1879,-52,Bad debt
10919,-16,Active
2893,-7,Active
14604,-53,Active
7365,-49,Active
13577,-16,Bad debt
4208,-23,Closed
781,-5,Unknown
9795,-4,Closed
8679,-8,Closed
14867,-54,Unknown
2034,-58,Closed
2858,-20,Active
6649,-44,Closed
1353,-20,Closed
13006,-9,Closed
5660,-50,Active
2416,-48,Closed
11674,-2,Unknown
13344,-28,Bad debt
10088,-34,Closed
14739,-53,Unknown
6039,-34,Bad debt
1366,-51,Bad debt
13925,-48,Active
14925,-27,Unknown
9699,-9,Unknown
13555,-8,Closed
3010,-12,Unknown
12977,-44,Unknown
13922,-7,Active
13086,-4,Closed
10398,-47,Active
9798,-58,Unknown
6707,-36,Closed
10585,-5,Closed
11478,-33,Unknown
13639,-39,Unknown
1013,-48,Bad debt
3309,-14,Closed
13180,-37,Active
7255,-3,Closed
11542,-52,Bad debt
4529,-19,Bad debt
11037,-14,Bad debt
13280,-40,Active
4592,-6,Active
10679,-3,Closed
1931,-41,Closed
6186,-31,Closed
10195,-35,Unknown
11038,-19,Bad debt
12139,-8,Bad debt
3797,-16,Unknown
7071,-9,Closed
7676,-16,Bad debt
392,-43,Active
7199,-1,Closed
3868,-45,Closed
12142,-47,Active
1043,-24,Bad debt
3,-48,Unknown
4827,-21,Active
12108,-1,Unknown
5449,-59,Bad debt
2969,-13,Active
352,-5,Active
13785,-35,Closed
7575,-21,Unknown
4091,-13,Unknown
10227,-8,Bad debt
10140,-13,Active
12502,-44,Active
7806,-49,Active
13916,-47,Unknown
6475,-23,Closed
12306,-54,Active
13656,-10,Bad debt
3574,-41,Unknown
9338,-42,Active
8524,-50,Active
438,-4,Active
5941,-52,Bad debt
4770,-33,Unknown
2430,-45,Closed
6823,-27,Unknown
2578,-13,Unknown
4293,-59,Closed
4178,-50,Unknown
4967,-30,Bad debt
11034,-12,Bad debt
8145,-49,Bad debt
13221,-27,Unknown
12110,-44,Closed
9381,-40,Bad debt
6386,-6,Active
14513,-25,Active
5469,-43,Active
4200,-33,Unknown
13742,-36,Unknown
14954,-2,Unknown
9311,-22,Unknown
14388,-29,Unknown
5712,-28,Unknown
10904,-16,Active
5270,-10,Active
6481,-55,Active
6842,-14,Unknown
9920,-47,Bad debt
6593,-15,Unknown
10845,-50,Active
3528,-23,Unknown
4781,-18,Closed
4652,-2,Active
10538,-54,Active
13676,-6,Closed
3119,-19,Bad debt
1379,-27,Closed
13172,-22,Active
2787,-1,Closed
530,-56,Unknown
9400,-21,Bad debt
6383,-23,Closed
14498,-45,Unknown
7131,-41,Active
13854,-28,Bad debt
14082,-42,Bad debt
7207,-51,Bad debt
13469,-44,Unknown
14567,-7,Bad debt
12435,-42,Bad debt
4019,-59,Closed
401,-21,Unknown
14777,-14,Active
3186,-13,Unknown
9255,-23,Active
3565,-53,Active
14934,-57,Active
3938,-58,Closed
3011,-15,Bad debt
11796,-18,Bad debt
10330,-57,Active
10058,-38,Active
3243,-55,Bad debt
7998,-9,Closed
11598,-27,Bad debt
1980,-23,Bad debt
5111,-41,Bad debt
9275,-55,Closed
14437,-49,Active
7805,-32,Closed
6849,-44,Closed
13950,-5,Unknown
6214,-58,Unknown
61,-15,Active
10447,-14,Unknown
14714,-42,Active
543,-39,Closed
13663,-55,Bad debt
12376,-35,Closed
4615,-51,Closed
2786,-2,Active
3772,-34,Bad debt
8717,-8,Closed
7050,-29,Active
4121,-51,Closed
11505,-27,Closed
1136,-3,Active
2555,-49,Unknown
237,-52,Active
6715,-7,Active
273,-42,Active
297,-28,Active
6595,-55,Unknown
11083,-33,Bad debt
14225,-21,Closed
2398,-44,Unknown
12570,-25,Closed
6694,-47,Closed
8047,-40,Closed
10532,-56,Unknown
8075,-3,Bad debt
8802,-37,Closed
11266,-20,Active
4784,-15,Active
504,-33,Unknown
858,-38,Unknown
5075,-36,Active
11813,-7,Closed
3126,-58,Bad debt
14183,-12,Active
13583,-36,Active
11183,-34,Closed
2695,-46,Bad debt
3602,-47,Bad debt
3721,-47,Active
5967,-15,Unknown
4030,-52,Active
12583,-46,Bad debt
14837,-26,Closed
5791,-25,Bad debt
14936,-20,Closed
3171,-49,Unknown
8611,-31,Unknown
6695,-42,Closed
8169,-38,Unknown
4189,-59,Closed
3324,-33,Unknown
3606,-5,Closed
4080,-60,Closed
9909,-46,Active
5009,-29,Unknown
14123,-9,Bad debt
14074,-56,Unknown
11212,-55,Closed
4891,-57,Active
14187,-42,Active
9158,-22,Active
380,-41,Unknown
7832,-17,Active
4560,-57,Bad debt
9706,-25,Closed
11542,-34,Active
8378,-59,Unknown
9243,-15,Bad debt
3966,-8,Active
1775,-9,Unknown
5640,-43,Unknown
280,-32,Bad debt
10574,-3,Closed
7802,-12,Unknown
9086,-15,Bad debt
12254,-51,Unknown
4070,-17,Closed
2819,-20,Unknown
14150,-19,Active
1814,-24,Active
14231,-60,Bad debt
4157,-34,Closed
5700,-59,Closed
1068,-18,Closed
13070,-14,Active
3120,-51,Active
10281,-58,Unknown
13859,-15,Closed
6759,-19,Unknown
3116,-7,Closed
35,-36,Closed
3339,-38,Active
10614,-18,Closed
9707,-18,Closed
10537,-33,Bad debt
11632,-17,Unknown
10202,-12,Bad debt
14179,-7,Bad debt
9069,-58,Closed
14709,-19,Bad debt
4857,-13,Unknown
2256,-53,Closed
4090,-40,Closed
709,-10,Bad debt
284,-30,Unknown
10235,-19,Unknown
6301,-51,Closed
11452,-55,Bad debt
5160,-25,Bad debt
8321,-52,Bad debt
6702,-38,Active
6322,-31,Unknown
14987,-55,Closed
1857,-38,Bad debt
5312,-34,Closed
10320,-31,Unknown
2925,-44,Unknown
2705,-23,Active
11280,-58,Closed
11484,-45,Closed
2441,-57,Unknown
10274,-27,Closed
13756,-58,Active
2354,-29,Active
2505,-4,Bad debt
10625,-60,Closed
11509,-21,Bad debt
14788,-57,Bad debt
1010,-15,Closed
957,-31,Active
1127,-19,Active
7280,-51,Bad debt
7101,-29,Active
7475,-26,Closed
6079,-18,Unknown
14594,-3,Active
4482,-52,Closed
1139,-30,Bad debt
7502,-44,Active
3249,-25,Active
9761,-4,Active
2890,-41,Closed
160,-21,Bad debt
3402,-22,Unknown
5344,-21,Unknown
12944,-26,Unknown
6528,-56,Unknown
13924,-21,Bad debt
10080,-46,Unknown
7039,-26,Closed
10830,-17,Unknown
7496,-58,Active
7363,-7,Bad debt
12808,-38,Unknown
8058,-24,Closed
4675,-30,Closed
11491,-1,Active
5242,-37,Unknown
2616,-46,Bad debt
2096,-15,Active
12692,-50,Closed
10578,-60,Bad debt
2043,-42,Unknown
6611,-30,Unknown
14212,-27,Unknown
1498,-22,Bad debt
8690,-26,Closed
8519,-29,Unknown
10112,-52,Bad debt
10654,-48,Bad debt
1587,-39,Bad debt
10474,-54,Active
3824,-25,Closed
6314,-57,Bad debt
529,-3,Bad debt
6462,-45,Closed
2920,-32,Bad debt
12880,-5,Active
4979,-20,Closed
7683,-53,Unknown
4341,-58,Unknown
13422,-27,Bad debt
1349,-43,Closed
2935,-42,Unknown
8640,-10,Active
11550,-27,Active
6282,-34,Closed
14245,-54,Closed
9051,-21,Closed
8689,-4,Bad debt
4251,-19,Closed
9831,-15,Active
1589,-40,Unknown
1313,-43,Bad debt
3399,-37,Active
9040,-60,Unknown
1920,-60,Bad debt
2406,-16,Bad debt
1248,-53,Unknown
12941,-55,Closed
1699,-42,Active
10274,-59,Active
8411,-47,Closed
8508,-36,Unknown
14523,-37,Active
11689,-1,Bad debt
6355,-41,Bad debt
3100,-17,Active
12269,-7,Unknown
9678,-15,Active
14641,-50,Active
13946,-30,Closed
12018,-38,Active
7385,-5,Closed
12948,-28,Bad debt
2793,-59,Unknown
13293,-9,Bad debt
6209,-2,Active
2134,-57,Unknown
7733,-32,Closed
9953,-50,Unknown
6024,-12,Active
2829,-29,Bad debt
5634,-60,Bad debt
10468,-38,Unknown
11107,-3,Active
888,-34,Bad debt
10047,-30,Active
4404,-45,Bad debt
12219,-4,Active
2068,-21,Active
13147,-2,Unknown
3224,-4,Active
7029,-49,Bad debt
9021,-56,Unknown
12585,-33,Unknown
2582,-3,Unknown
3680,-15,Closed
2337,-15,Unknown
10800,-39,Active
5832,-54,Closed
10707,-9,Bad debt
9810,-6,Bad debt
11327,-22,Bad debt
4354,-35,Bad debt
1133,-1,Active
14711,-1,Active
1118,-27,Bad debt
10831,-51,Bad debt
3770,-14,Bad debt
14561,-6,Unknown
1233,-44,Unknown
6220,-18,Active
932,-56,Bad debt
3754,-3,Bad debt
4303,-25,Unknown
14582,-1,Bad debt
3473,-11,Active
5558,-44,Active
2183,-2,Closed
513,-6,Bad debt
5237,-33,Closed
12507,-58,Closed
14156,-24,Unknown
5568,-8,Unknown
12006,-4,Unknown
5739,-40,Unknown
12803,-23,Active
5061,-31,Closed
9489,-33,Closed
3188,-25,Bad debt
8702,-48,Unknown
44,-47,Bad debt
12875,-42,Unknown
14801,-10,Active
11800,-18,Closed
5966,-1,Active
14224,-26,Bad debt
