SK_ID_BUREAU,SK_ID_CURR,DAYS_CREDIT,AMT_CREDIT_SUM,CREDIT_SUM_LIMIT,CREDIT_TYPE
218,109773,-590,5063.53,19521.82,Car loan
219,103536,-3731,42361.91,1300.95,Other
220,100162,-3994,47592.61,9170.76,Consumer credit
221,100324,-1751,16599.65,4158.9,Other
222,111650,-1891,34123.14,18370.46,Car loan
223,106291,-3835,26591.24,15098.22,Credit card
224,111485,-2710,38540.43,17042.75,Consumer credit
225,105565,-1217,25424.4,18692.58,Car loan
226,103273,-1604,37000.6,9805.06,Other
227,100617,-1312,35678.86,4402.74,Car loan
228,102375,-1559,35217.15,16260.11,Credit card
229,102222,-786,19030.96,9643.18,Car loan
230,107014,-2259,3919.85,17047.46,Credit card
231,113940,-180,15168.31,16752.51,Credit card
232,107185,-3827,31195.64,13069.32,Credit card
233,102447,-2999,1281.78,14357.35,Mortgage
234,101633,-1384,10835.05,12546.46,Car loan
235,100604,-3681,34750.69,13773.3,Credit card
236,101885,-3583,6022.15,800.96,Car loan
237,105861,-565,10414.07,675.29,Other
238,107438,-3098,14477.03,11052.36,Car loan
239,100075,-330,4377.3,2131.98,Consumer credit
240,110188,-2870,7697.55,2332.43,Mortgage
241,113413,-605,42094.72,16547.03,Credit card
242,101879,-1379,23688.0,2804.13,Consumer credit
243,113355,-75,4969.64,18204.61,Car loan
244,113541,-2633,17321.38,10180.68,Mortgage
245,109363,-2945,1909.52,8682.67,Consumer credit
246,108970,-2490,32926.14,6680.46,Credit card
247,106045,-1125,18884.05,17554.25,Mortgage
248,100920,-282,42438.19,19925.51,Credit card
249,105039,-2672,20278.8,3486.99,Mortgage
250,101428,-1615,11187.1,509.35,Car loan
251,113559,-1679,47057.88,15369.15,Mortgage
252,104135,-1460,26847.65,12457.01,Credit card
253,101331,-2156,16615.47,8075.43,Consumer credit
254,112755,-2090,1651.94,541.84,Credit card
255,109268,-1777,27827.58,10242.39,Credit card
256,111377,-3752,12601.36,14022.8,Other
257,107100,-2819,35229.52,7300.0,Mortgage
258,105761,-3104,32637.09,10665.31,Credit card
259,104651,-2816,44237.85,8789.47,Other
260,113628,-1547,37875.77,6835.3,Other
261,103296,-1029,9157.97,593.17,Credit card
262,113983,-1440,16344.71,2761.67,Car loan
263,114016,-1974,28181.17,8709.1,Other
264,111082,-2814,2249.27,9452.3,Mortgage
265,105180,-1507,39110.71,14742.15,Consumer credit
266,108897,-1692,12854.14,19848.16,Mortgage
267,102830,-492,693.45,981.13,Credit card
268,101833,-3669,33815.34,6429.15,Credit card
269,105090,-990,35503.93,3042.31,Consumer credit
270,113509,-439,19687.97,8157.03,Credit card
271,112653,-1192,13851.29,10850.81,Consumer credit
272,112731,-3718,41822.81,2922.89,Credit card
273,100297,-2408,18715.05,10073.0,Credit card
274,100394,-1082,2416.49,1066.87,Consumer credit
275,108342,-1545,14927.2,15567.5,Credit card
276,100009,-2229,40023.05,10617.11,Credit card
277,110545,-2028,43533.7,18086.85,Mortgage
278,107168,-3924,26039.41,8805.6,Mortgage
279,106841,-779,44444.87,2421.55,Other
280,100531,-1830,23553.85,186.55,Consumer credit
281,112003,-2715,35053.28,1981.65,Credit card
282,108617,-2676,24446.85,19205.07,Other
283,110548,-3818,43754.53,12276.54,Car loan
284,110635,-1001,43937.66,6002.73,Other
285,107830,-723,7058.29,6423.29,Consumer credit
286,103061,-1337,12487.62,10350.66,Mortgage
287,108218,-2461,28914.73,5814.15,Credit card
288,102930,-1811,48078.15,19950.48,Other
289,101983,-117,15979.07,997.31,Consumer credit
290,109663,-2714,37661.34,4157.9,Consumer credit
291,104895,-120,11374.08,18999.72,Consumer credit
292,108199,-807,28826.78,14452.79,Credit card
293,107711,-817,22428.81,9333.2,Other
294,112238,-3771,1913.97,18275.76,Mortgage
295,103570,-3769,38685.58,13185.01,Consumer credit
296,101531,-2297,5429.47,6563.23,Mortgage
297,105551,-3046,1000.24,8945.83,Mortgage
298,113846,-257,46470.58,15854.57,Other
299,107244,-1484,22844.29,13322.62,Mortgage
300,102038,-2225,49292.4,7553.62,Car loan
301,113884,-3481,8447.74,4846.1,Car loan
302,100511,-3265,16471.63,19029.04,Car loan
303,109786,-2201,32221.23,16810.66,Credit card
304,100110,-3722,34727.32,15501.73,Other
305,109413,-1322,19215.01,10557.7,Consumer credit
306,107133,-722,14174.34,759.71,Mortgage
307,109147,-3637,29759.21,2652.24,Consumer credit
308,109007,-966,49066.64,12136.94,Mortgage
309,112069,-496,43063.16,5614.59,Consumer credit
310,102409,-1562,14929.16,10912.31,Mortgage
311,110534,-636,13863.44,17539.74,Credit card
312,105200,-2295,41086.43,11755.07,Credit card
313,114609,-1356,32674.21,11273.65,Other
314,104533,-3169,8413.8,7119.14,Car loan
315,105673,-2733,38031.55,11211.21,Mortgage
316,110116,-282,35427.55,9142.51,Mortgage
317,107605,-1124,10095.05,2361.16,Consumer credit
318,108108,-41,31236.56,16513.79,Credit card
319,103495,-1261,15261.34,5141.27,Consumer credit
320,101560,-2688,42102.57,10452.18,Other
321,114668,-2695,18319.07,1078.58,Car loan
322,100448,-2876,15999.42,5441.58,Car loan
323,100901,-1216,24944.03,3464.85,Consumer credit
324,102677,-3979,49286.3,3205.9,Other
325,102691,-1616,46576.98,2461.29,Mortgage
326,110299,-2284,4479.24,3581.87,Consumer credit
327,100751,-242,44665.84,8913.52,Consumer credit
328,108454,-1377,42302.35,8432.24,Consumer credit
329,111884,-168,9983.8,18940.79,Credit card
330,102758,-3668,4141.95,17477.88,Car loan
331,101499,-2063,44279.68,6654.52,Mortgage
332,110650,-1125,18136.98,19022.33,Credit card
333,105713,-3274,11115.06,12227.86,Other
334,108731,-2278,12736.19,8127.77,Consumer credit
335,114358,-663,40568.79,15729.87,Credit card
336,107428,-1266,47822.38,5222.35,Car loan
337,114210,-2389,30991.65,8874.13,Mortgage
338,113540,-3734,47468.5,8941.62,Consumer credit
339,106848,-2697,3302.81,4653.21,Consumer credit
340,111371,-1537,43553.4,8704.98,Other
341,102500,-2726,39771.65,15329.0,Credit card
342,111217,-3856,4359.33,18230.48,Credit card
343,103883,-879,26714.25,6039.4,Credit card
344,100294,-3750,35958.85,12547.4,Consumer credit
345,109840,-3217,20532.62,10499.8,Other
346,109910,-2941,31342.16,18701.79,Car loan
347,101192,-1032,20049.86,1674.33,Mortgage
348,106770,-2350,17243.15,8855.86,Consumer credit
349,113715,-1855,17718.77,16079.53,Car loan
350,104970,-1798,33324.75,8654.96,Mortgage
351,106413,-566,40855.89,14598.45,Mortgage
352,107127,-2936,28875.03,14664.34,Other
353,114362,-1310,17331.09,13561.51,Credit card
354,114767,-257,37775.63,9271.16,Consumer credit
355,113326,-3922,25042.44,11253.9,Credit card
356,110821,-1710,18528.34,639.82,Mortgage
357,106445,-3429,33938.97,3032.64,Mortgage
358,104942,-3034,35558.17,18362.48,Mortgage
359,101753,-453,49557.49,1871.38,Car loan
360,101854,-3950,14597.34,12268.48,Credit card
361,101103,-1830,4209.31,15222.6,Credit card
362,106303,-3211,31515.46,3774.55,Credit card
363,108178,-3348,9518.86,15047.34,Credit card
364,103406,-3553,9076.38,9860.67,Car loan
365,102273,-1990,21872.65,6724.29,Other
366,111898,-2356,27607.73,5785.72,Consumer credit
367,113447,-3263,37119.57,15804.2,Mortgage
368,107700,-3501,49641.67,6545.18,Car loan
369,103391,-455,49365.31,16816.34,Car loan
370,105298,-1777,21003.05,5862.05,Consumer credit
371,108825,-3258,15781.55,12468.16,Other
372,112577,-2353,1696.46,17761.32,Mortgage
373,109233,-2089,49642.89,14439.15,Mortgage
374,109603,-3467,5714.41,12832.75,Other
375,113368,-1666,8477.74,19404.74,Credit card
376,103703,-3952,25257.35,19385.96,Mortgage
377,112033,-1626,30296.52,15826.61,Credit card
378,100640,-3490,42237.54,15144.71,Mortgage
379,102491,-1532,16950.19,10499.95,Credit card
380,101914,-3215,20531.55,6142.12,Consumer credit
381,102650,-3044,22371.49,11134.7,Car loan
382,108481,-131,28162.05,19499.23,Car loan
383,112581,-3969,25720.51,19798.3,Credit card
384,113225,-3147,38978.74,7003.67,Mortgage
385,103654,-1245,40191.81,13287.78,Consumer credit
386,100760,-1549,35654.87,10250.14,Mortgage
387,108331,-2663,36537.47,13921.28,Mortgage
388,102205,-548,23543.59,13137.67,Other
389,100030,-3922,5564.97,19032.23,Car loan
390,108515,-3677,33413.11,9083.83,Mortgage
391,104537,-2280,18781.98,1191.82,Credit card
392,106788,-3613,31275.13,15758.4,Mortgage
393,104119,-3894,35045.71,3005.62,Car loan
394,112832,-554,34448.8,987.13,Other
395,102076,-885,3732.07,875.61,Credit card
396,103385,-3475,17691.22,12444.69,Car loan
397,109135,-3344,32077.68,1248.25,Consumer credit
398,104647,-706,27619.17,10866.22,Car loan
399,105813,-1698,18754.76,1831.33,Car loan
400,106852,-2804,34197.11,11001.52,Mortgage
401,109528,-3544,24221.52,14148.05,Car loan
402,100984,-2689,49152.43,14299.91,Credit card
403,109105,-812,26296.35,9298.65,Consumer credit
404,107788,-2104,4173.77,16038.24,Other
405,101465,-1635,644.01,9828.39,Mortgage
406,104746,-1014,1353.96,17097.69,Mortgage
407,105441,-2119,29272.78,16069.36,Mortgage
408,112186,-2906,41004.59,14287.86,Credit card
409,100918,-1478,18846.32,2431.21,Other
410,107095,-2684,5303.16,7286.1,Car loan
411,113014,-1699,35126.76,11408.94,Consumer credit
412,105909,-1277,17167.84,9793.39,Credit card
413,105699,-2390,49987.76,18405.47,Mortgage
414,111732,-2723,31626.17,14165.89,Mortgage
415,102951,-2190,22145.14,5488.87,Consumer credit
416,111513,-1252,6371.48,3607.04,Other
417,112616,-2322,23227.57,336.57,Other
418,108587,-2626,29778.76,5978.53,Mortgage
419,106817,-239,29738.31,19154.58,Car loan
420,107938,-445,16781.77,18774.01,Credit card
421,105636,-1269,39680.38,6491.18,Consumer credit
422,111105,-722,30679.07,17676.17,Consumer credit
423,109119,-1044,39858.06,18932.1,Car loan
424,100980,-2110,13584.86,1998.95,Other
425,108094,-1365,9006.53,1129.91,Consumer credit
426,113817,-3755,23843.37,755.14,Other
427,103121,-1602,44623.41,16394.83,Other
428,102617,-3948,21265.58,13950.8,Other
429,114250,-1661,3841.35,8913.75,Other
430,108075,-3930,22507.15,12418.43,Consumer credit
431,102683,-3869,15529.18,15410.46,Mortgage
432,100004,-1086,37118.83,16078.0,Mortgage
433,108316,-665,36199.89,8281.38,Car loan
434,101601,-662,10728.13,1011.75,Credit card
435,108805,-701,32771.85,10538.13,Other
436,112984,-2843,2540.72,989.41,Mortgage
437,113709,-3132,21688.27,11744.25,Consumer credit
438,109899,-1432,39064.46,8843.49,Consumer credit
439,100997,-2662,17591.53,3145.16,Mortgage
440,106919,-2465,8466.81,3164.34,Consumer credit
441,114928,-1174,41393.69,9464.76,Mortgage
442,100861,-2596,2830.37,9569.96,Other
443,112584,-1386,39360.21,12907.68,Other
444,111121,-473,24040.47,11655.38,Other
445,106874,-2141,44660.58,868.38,Car loan
446,103600,-2133,18971.69,19661.12,Car loan
447,112059,-3860,3471.11,13515.09,Car loan
448,104647,-307,22797.73,8482.87,Car loan
449,107835,-1903,13902.55,16289.16,Car loan
450,113118,-16,20068.31,11927.3,Credit card
451,111197,-1392,36881.32,11552.73,Car loan
452,105430,-3282,6957.02,3403.75,Credit card
453,103770,-1991,25155.1,14026.2,Car loan
454,106658,-2605,21153.07,18973.03,Credit card
455,114797,-1006,16164.06,16035.65,Car loan
456,109219,-1378,28336.37,5691.24,Credit card
457,104824,-91,35573.13,19891.97,Other
458,105970,-3193,3559.09,2462.85,Mortgage
459,114931,-1485,29595.28,19211.46,Consumer credit
460,113040,-3728,27990.83,9711.58,Car loan
461,114898,-3000,13717.78,9600.32,Credit card
462,105705,-124,14480.37,814.62,Mortgage
463,103710,-1837,20964.94,19882.78,Car loan
464,110671,-3458,32549.52,3771.44,Credit card
465,102025,-1982,15525.34,8752.45,Car loan
466,108730,-2284,9917.78,5909.75,Credit card
467,111946,-2995,36796.15,11106.57,Credit card
468,109445,-3510,35499.05,6914.67,Other
469,112666,-2941,41098.6,9565.35,Credit card
470,114055,-3908,18693.97,17135.73,Consumer credit
471,100475,-994,10847.6,11048.53,Car loan
472,113352,-2256,44864.19,167.05,Credit card
473,100712,-1431,38833.58,17140.29,Mortgage
474,113714,-920,21103.06,13903.67,Car loan
475,103710,-409,5865.29,15309.09,Mortgage
476,100989,-291,45220.37,6257.79,Consumer credit
477,103209,-2211,27005.79,3208.47,Credit card
478,108070,-1949,19909.58,3044.53,Consumer credit
479,104179,-3358,4770.68,15509.39,Mortgage
480,102600,-367,22264.81,5316.19,Credit card
481,114494,-2071,3705.75,1211.97,Mortgage
482,105474,-2175,13314.97,15058.61,Consumer credit
483,110944,-325,39677.57,11286.1,Car loan
484,110694,-821,49186.98,12077.47,Credit card
485,102044,-2631,6349.0,14478.07,Consumer credit
486,101153,-3274,17202.73,19280.82,Consumer credit
487,100806,-3244,43410.1,9880.33,Other
488,111031,-1562,6344.64,6667.27,Consumer credit
489,102412,-3531,12315.32,7621.49,Consumer credit
490,111398,-1220,18774.06,19683.28,Mortgage
491,102587,-2710,24305.67,8447.93,Other
492,105787,-1593,12531.8,1032.7,Other
493,114226,-2914,38021.13,17223.82,Other
494,103555,-3641,9992.18,16521.48,Consumer credit
495,113545,-1053,39754.01,15657.88,Car loan
496,107232,-2212,19157.36,2046.09,Mortgage
497,102614,-1216,1231.1,4246.92,Consumer credit
498,111063,-1731,13267.86,3781.66,Car loan
499,113930,-11,32491.8,8247.02,Mortgage
500,113138,-3949,32739.85,9148.97,Credit card
501,110381,-1881,39534.03,8029.68,Other
502,107126,-358,1094.52,16816.52,Consumer credit
503,108425,-3442,11002.19,9705.79,Credit card
504,104168,-3702,29480.88,10663.39,Credit card
505,114851,-2389,35743.3,1175.21,Car loan
506,112946,-739,49481.75,18442.47,Other
507,101282,-1138,49399.6,11790.0,Consumer credit
508,103846,-2317,11293.28,10.7,Consumer credit
509,113186,-660,17703.66,18483.03,Consumer credit
510,103903,-1709,29340.54,4223.71,Credit card
511,114653,-3125,35753.59,1629.72,Other
512,107406,-2050,19356.85,6396.8,Car loan
513,100400,-2097,20937.96,5232.18,Car loan
514,114628,-910,664.56,8597.64,Consumer credit
515,103703,-2129,5017.6,13746.66,Other
516,114765,-1008,2743.38,10795.26,Consumer credit
517,105872,-2805,11394.22,9891.71,Mortgage
518,114430,-3156,15426.14,13962.74,Consumer credit
519,105079,-530,24030.19,17596.02,Consumer credit
520,103084,-664,32562.74,1891.07,Credit card
521,103891,-264,47071.93,7624.93,Car loan
522,113170,-1236,11916.37,10379.91,Other
523,103689,-3185,21107.77,15720.71,Car loan
524,100109,-1516,15610.58,16712.07,Other
525,109798,-3199,3890.74,18351.36,Car loan
526,110001,-2753,42337.01,9737.41,Car loan
527,109854,-1797,20151.33,1892.99,Credit card
528,105972,-3365,29461.21,15754.37,Car loan
529,111528,-2537,15058.06,11767.99,Car loan
530,106840,-1875,35680.95,1995.78,Consumer credit
531,113009,-3916,34971.42,19060.58,Mortgage
532,113689,-965,645.15,5796.85,Mortgage
533,114704,-2369,25079.92,9950.67,Other
534,111040,-2832,42712.39,11595.75,Consumer credit
535,103782,-3889,37807.52,16885.09,Mortgage
536,109619,-440,3688.42,13767.87,Consumer credit
537,109565,-2364,31549.38,1845.61,Credit card
538,110238,-3627,37746.28,13913.98,Consumer credit
539,113808,-3833,9395.42,6005.35,Car loan
540,104593,-1584,1447.81,1252.06,Mortgage
541,109050,-437,14804.13,4071.8,Mortgage
542,106367,-670,30178.72,18949.59,Mortgage
543,102184,-822,38306.7,5854.39,Other
544,102546,-236,45404.42,2359.51,Mortgage
545,112170,-1217,48042.57,3439.04,Other
546,106519,-521,20472.22,10411.67,Mortgage
547,105082,-590,30346.18,14568.59,Car loan
548,114772,-642,801.24,14600.2,Mortgage
549,100828,-2327,41838.81,10363.95,Mortgage
550,102044,-854,29932.28,12624.65,Mortgage
551,101740,-3983,42179.81,3321.56,Car loan
552,100436,-1149,17166.74,7181.62,Credit card
553,102130,-545,41841.81,3866.47,Mortgage
554,110376,-1656,32651.57,5378.79,Credit card
555,108703,-1364,42937.05,12069.69,Other
556,102258,-2819,5430.76,2181.66,Credit card
557,105536,-1575,17120.82,6393.99,Other
558,107553,-3739,38130.68,16949.29,Other
559,114412,-2003,4620.79,9660.76,Other
560,100718,-3711,37185.83,6250.67,Car loan
561,114961,-3710,35000.25,10078.74,Car loan
562,112218,-583,48985.59,4718.17,Consumer credit
563,114078,-596,38182.47,15460.08,Other
564,101825,-3380,16801.52,666.82,Consumer credit
565,102772,-703,31706.99,1383.82,Consumer credit
566,114134,-2706,47854.4,13416.58,Credit card
567,105854,-2018,13464.35,753.05,Consumer credit
568,112280,-478,7110.49,9243.39,Credit card
569,101567,-3715,4803.25,8500.16,Consumer credit
570,109688,-2298,47535.18,12340.04,Consumer credit
571,101619,-1341,29169.12,13512.77,Credit card
572,107412,-788,15587.72,15899.56,Mortgage
573,101817,-1470,42933.74,12423.37,Credit card
574,101399,-2453,12861.93,18169.1,Other
575,101856,-1340,31196.18,13334.09,Mortgage
576,114749,-2854,39447.2,8029.17,Other
577,114399,-57,43413.14,19976.89,Credit card
578,109903,-2141,6764.08,9293.55,Consumer credit
