SK_ID_CURR,SK_ID_PREV,DAYS_INSTALLMENT,AMT_INSTALLMENT
113425,4470,277,2123.51
114183,11936,-344,3368.64
113598,6470,-226,2082.69
107669,13327,271,1432.39
108583,10068,-51,895.42
100956,9082,-171,4366.18
111086,6158,-83,2673.8
109512,14877,-161,1979.93
103852,4749,-22,1289.49
106033,13336,-78,2795.73
100170,9904,-85,1208.74
112666,9017,76,4640.9
108475,1804,-202,647.51
112605,3833,3,2652.65
104958,9375,-352,2346.86
107468,555,113,2016.38
111853,9714,-242,3883.16
105746,2558,-294,2923.82
102575,1528,-73,3397.66
107379,3204,-189,3228.28
113697,2197,-186,4527.87
100502,14623,-2,1321.44
105670,14776,-33,2045.93
103873,4853,191,4688.71
113569,4489,10,2715.99
106870,9632,150,3669.92
109308,9696,118,3986.24
109349,14992,208,1823.36
105052,13177,79,2695.87
105154,6760,-215,874.57
103233,8906,-16,3983.43
108389,3478,-135,3017.55
101464,13913,251,2982.74
103682,67,-317,3048.41
106428,14870,145,514.51
113193,12434,-329,3660.92
114144,3847,-339,4814.98
109407,14254,-60,4995.06
102929,888,-123,4263.42
105739,9647,-340,2027.72
102041,3832,-338,3089.32
108173,6062,-27,4130.94
114338,10240,237,2171.37
104575,4046,-173,3567.46
110357,10250,243,2195.06
103920,4706,240,2357.28
107207,9767,265,3367.58
101309,6107,181,3848.7
101503,11381,223,4597.06
109672,375,65,4637.79
104090,9866,290,1333.93
105723,6980,19,4819.22
101039,3585,-298,979.4
106313,5489,358,1329.18
112939,8815,-290,3833.78
100909,4802,329,3298.52
114675,4105,-195,1248.48
114698,9793,335,1274.21
103007,11989,-193,1610.32
100708,5883,-63,3303.87
100457,4379,350,1143.69
102313,14898,-210,2874.08
104947,7940,-172,2974.54
109499,6544,-240,4033.8
113344,12335,-31,1711.22
113927,10781,-66,3902.52
111769,10510,-51,2883.73
102550,1702,276,2015.55
103927,2918,-252,2555.26
102340,5462,88,4020.38
100165,13337,80,1661.02
107017,3097,-247,3656.32
105990,5778,38,4102.41
107806,1902,-84,620.71
100631,9578,235,1694.72
104674,17,158,887.0
102346,6179,42,1063.38
103839,6315,-10,3405.81
110592,7089,38,734.85
111264,10338,-335,2935.78
112128,9527,121,787.49
102756,6674,116,2553.12
110010,12018,-173,1558.65
106539,731,-218,4712.99
108533,9872,227,1543.19
110296,9149,-237,1915.45
113620,5197,81,4481.91
109847,3765,-292,3817.63
111144,11033,-267,2702.32
101868,14370,217,2842.51
104484,2250,-240,4611.2
113606,1512,326,1582.35
111489,9242,231,3376.5
107471,14468,290,2963.81
100927,8787,183,3352.88
103618,11106,243,4114.94
105708,11672,225,4222.71
104721,11246,264,1973.12
109883,10213,-143,558.97
104838,14685,-354,1976.06
100829,4606,-131,4732.22
114336,7974,349,4352.76
100642,11042,101,1089.73
102408,3856,-253,650.82
110480,2826,141,2443.15
103276,1203,-227,3132.43
113409,7320,-121,1788.87
100492,3093,-151,3979.43
100093,2409,179,3504.28
108010,2977,181,764.78
111006,7163,-352,3825.53
114561,12381,9,1390.38
102776,2169,195,2430.95
101901,9222,-164,3026.11
106819,7184,-16,2545.14
108101,9958,-74,4585.83
102632,4243,-129,3718.1
102282,896,354,4527.2
101736,6057,27,659.7
113176,5503,162,1249.35
109404,8807,133,3988.91
105327,12701,32,3881.79
108732,5175,297,3008.49
105733,9727,-186,4208.14
104077,4974,-145,3412.88
103877,6003,-234,2370.19
102476,8587,-187,2766.68
113953,244,-270,3384.21
114822,9146,-26,1372.81
114965,2866,274,4656.57
104760,6110,157,4577.67
101465,1846,-269,839.53
111688,2501,-157,2001.29
102060,10362,286,2149.25
107229,3659,163,3459.95
112415,8318,-309,4427.7
100515,9188,-299,3494.05
102415,4857,-253,2287.88
103430,633,11,3126.59
112769,12185,36,4894.45
113295,4407,-351,2275.73
102779,1224,-280,4323.38
114529,12420,317,4032.18
104440,13360,-182,3557.9
113804,3916,168,2749.85
104057,3938,158,1285.65
106831,6992,-325,4439.74
100982,3521,-120,4297.91
109135,10375,197,3871.53
111414,8457,-10,1952.16
114321,12914,-99,1645.76
112016,10048,-32,3797.16
100329,7747,-114,1030.03
112995,1674,88,4781.56
107502,9739,-198,617.59
107492,13674,191,1246.28
109165,910,327,2623.34
101862,6065,-63,3681.7
110249,14063,44,3182.38
112566,261,237,4729.31
112242,2986,-46,3822.06
111032,9046,45,2381.31
106442,3619,362,2143.76
101461,347,218,1488.86
108677,5343,-356,2862.65
105435,11343,-334,1829.06
100250,12690,-107,3999.86
113362,12754,91,3469.74
112241,886,254,3665.41
106840,6074,252,590.5
113485,14007,39,4743.93
100064,7390,-183,1642.7
107214,7964,-119,4471.92
108661,5265,-229,1713.73
110799,11907,-321,562.51
110437,5591,169,1290.26
111924,5552,7,2323.59
103778,4688,-225,986.69
104992,5385,78,3530.62
111002,5558,307,2115.19
102857,3964,-231,4784.79
111377,5222,-362,4330.01
111948,2726,-151,1314.66
112195,2168,191,686.14
109142,1334,6,2560.78
109365,14465,-356,2182.77
107022,7508,316,1845.4
114456,12419,-62,3125.41
105963,446,-2,3478.5
113360,4178,202,3193.09
106961,3672,-61,2639.44
101839,5536,310,2793.24
113027,13430,-258,3368.58
107366,14183,5,3458.73
109725,488,-292,2845.72
103595,4791,-192,1249.18
112260,14860,-230,4087.47
109524,1723,-69,1382.2
113593,9379,52,2915.55
104988,11608,-180,656.04
107266,4240,233,3307.12
114307,11152,-220,3850.09
113671,8987,85,4062.99
104079,1119,83,3735.88
107937,13996,-279,3323.49
112669,5340,-225,609.84
106613,8804,-329,3345.39
106934,9042,-241,4824.86
109359,2301,136,1970.83
106698,2304,34,4893.63
111130,7412,-287,1343.39
100513,5763,104,2698.01
114472,9209,280,1337.54
113710,4966,-104,4726.47
114560,6646,-103,519.7
109084,9711,-152,675.84
111240,12391,-270,3012.22
107895,566,-273,4908.33
111138,4602,-42,682.03
100887,10915,87,1177.2
102188,12351,327,1100.13
107152,6814,48,4374.32
105714,1402,173,1806.65
106272,4676,333,992.07
111931,2593,30,1235.6
113412,3182,-12,3196.69
110955,3022,202,750.81
101652,9821,260,4131.94
100379,6625,-201,808.72
105625,10310,-349,1684.96
104258,12498,-320,4009.48
110812,4014,-12,3653.32
102568,7944,-295,601.17
112316,8213,41,3795.65
113598,12380,-254,2450.48
102942,2073,122,1840.14
106871,12354,190,1401.38
114647,1588,-220,3566.35
105551,8212,-76,3835.91
109773,11561,-212,3862.64
101921,3250,-99,3188.81
105771,11997,-148,1534.96
103314,10273,258,2748.91
107187,10313,-213,1515.59
100768,11864,-47,3868.82
101057,11855,-309,722.2
110803,9798,325,4726.82
111632,4333,197,787.04
112280,14720,-114,2092.65
109842,3085,-223,910.43
101803,9696,44,3707.18
105684,1482,51,4989.06
111017,5141,-346,1721.36
107437,4414,57,2628.77
105327,5352,-196,1024.56
114972,2418,161,2234.23
102578,6131,-150,2721.29
107481,1365,267,3185.7
110937,8160,-142,2706.43
110810,6552,142,3187.41
100002,693,-83,4788.33
112591,8248,324,4756.66
113097,8092,61,4955.44
105871,8949,-364,1507.06
100964,9142,251,3841.6
103833,14968,200,2939.06
109638,3091,358,2784.93
100061,13082,-281,1726.75
101643,5630,208,960.63
105355,2434,21,1402.75
101499,2690,8,2485.34
108781,3176,330,3039.26
112520,3950,279,2692.78
110708,9568,40,3058.93
101306,4132,49,2715.72
105122,7533,30,4987.42
103893,2876,-314,3845.21
105748,14277,327,2073.87
102345,9417,323,759.52
102229,4795,-61,3575.86
110158,7204,-49,573.55
103657,13901,-159,1656.3
107809,9963,186,1529.59
101763,14498,-132,4906.81
104662,10791,231,4615.77
103585,7920,-247,4232.77
104855,4602,-53,3678.31
106598,3028,193,2429.67
110099,4024,-60,1581.6
110103,11221,148,3713.31
104041,11603,35,3685.45
100043,1587,-244,3537.79
103028,1491,163,1097.79
111177,10561,-356,3640.85
107575,3836,-248,4080.48
100469,3089,-111,770.09
106436,5390,315,2203.09
104498,2164,-242,4632.6
111619,12891,-297,3489.26
111191,7401,-282,658.77
112002,1124,-80,1100.18
109049,3684,-158,2207.99
104440,7945,-291,4381.82
106486,4155,145,2019.84
101490,6318,-84,3335.98
113291,2869,48,3756.6
114362,10005,272,4981.59
104373,11550,268,4816.35
109895,9444,-265,879.14
105976,7499,357,2538.12
114452,11693,-82,750.03
112751,4254,125,1864.68
101231,9461,-205,3591.62
112619,14676,-117,4262.26
109392,10732,-303,2937.45
112566,477,-309,867.18
107394,4836,-260,2039.09
105988,2204,-7,3728.88
112649,8171,-72,3695.15
100445,1219,-335,3591.43
103261,11733,-51,3968.35
110261,9779,-257,3571.85
110394,7197,199,2266.7
102513,9721,-164,1996.9
106443,8356,-365,2998.73
107625,12392,81,4777.32
114375,2973,-340,3905.36
105703,5676,-218,3341.91
113891,10490,124,2307.32
111595,13992,-72,2239.87
108952,7493,206,1178.03
112335,11319,-214,3737.73
112272,2305,-353,3617.25
103194,10223,-31,3449.47
104821,4827,274,2949.42
104333,10760,-194,2717.66
109495,3423,-74,2988.01
112771,6482,-321,616.28
109602,7938,-93,3636.8
113244,1101,124,1159.72
100694,9828,86,4353.4
111195,11974,-114,3502.36
109972,12066,-93,4659.3
104902,9999,-138,2101.96
104240,13296,307,1932.48
102490,13172,-345,2714.99
103644,8012,11,4887.67
104449,10065,303,2240.18
109880,3723,-194,4736.01
102244,14336,-297,1003.38
111800,12139,-299,4785.45
112945,1526,-345,1397.49
102436,14243,-236,3993.89
102718,11237,-304,1627.34
113118,1198,-319,4114.62
106979,10188,-109,942.39
114053,7697,-175,3544.84
108041,14455,-314,3910.73
105474,6186,-137,1529.3
104488,3183,358,3726.68
104539,14878,32,2709.5
107231,3270,-102,655.37
109202,2266,138,3492.14
103686,10186,144,621.73
110536,6447,208,4575.76
102695,10773,-42,4764.97
106295,1645,-158,2686.54
109667,3063,-278,591.6
107313,6220,341,4038.59
101722,5087,290,1871.28
114214,1371,-158,1577.02
111654,2762,-123,4708.72
102053,5699,129,4799.15
102486,14206,-354,4353.47
113598,13031,-298,735.66
102617,8407,-4,999.47
101679,3867,37,561.47
106370,9278,-255,2984.48
111529,1735,-318,4936.15
111188,607,-294,876.41
100232,2708,-4,3540.39
113972,13944,-185,4399.74
106001,8264,-301,3449.85
114439,8520,-311,1002.6
100235,6633,327,2570.11
109733,10966,239,1796.29
101087,12093,122,4943.39
105838,12546,23,4278.5
103926,8839,-341,3537.86
101180,2557,137,1291.57
101357,4830,92,3786.73
112678,4689,266,3735.67
110172,1266,157,1209.91
101986,2870,-357,2024.48
105108,2350,286,3714.54
104155,8290,312,1037.54
112717,8077,-302,3065.15
104111,7238,-235,1577.78
112235,13307,143,1902.54
110773,3648,287,647.93
103116,7691,18,1920.97
105826,6807,98,3141.17
114366,2857,-279,1462.95
109687,11527,215,3678.69
108014,14393,106,4347.95
105023,14279,174,2379.93
100944,8738,217,708.65
102840,6278,-30,4079.23
110944,5247,289,3920.95
109565,1907,-177,2903.58
105992,7490,150,1701.87
112616,7927,355,4294.59
105271,14355,-228,3658.45
100447,12274,14,3780.76
114847,9084,21,1222.02
114417,6973,-253,991.69
100245,473,-241,2838.44
110773,7735,206,4521.77
103592,5241,135,2971.25
103463,10821,-214,4135.64
101723,9945,291,3231.32
104260,5757,242,3610.8
113001,2025,-290,1830.09
110685,12207,224,2988.24
113819,5272,-305,2045.39
103132,12512,-269,1049.96
104363,14830,-175,848.09
106723,7564,94,4946.09
107691,9091,-315,836.61
108070,9400,294,1108.44
111717,7917,-326,2095.55
112854,6781,76,4404.91
100494,12939,13,2309.59
104565,9789,39,4757.12
110566,2289,-281,1115.97
108218,2172,284,3694.02
114332,461,-250,915.37
102930,20,105,1849.67
100873,2688,298,4023.98
111408,3858,-184,4989.01
110171,8187,-144,4158.78
106182,1309,75,4556.18
101806,7989,-155,629.26
104650,10549,-359,4036.5
100621,7078,-87,817.02
107939,6516,-308,2649.91
112377,7118,83,3923.31
104627,8956,243,1510.87
102438,7309,229,4810.36
101838,11400,171,4404.68
109674,12528,-13,1488.27
102672,4713,341,1652.92
113170,13510,117,1591.4
100351,3434,45,3816.01
114313,10135,288,1969.23
101752,12922,28,1616.77
103628,1768,-36,3308.16
106489,627,275,3272.56
100863,1672,-46,1189.67
114432,4969,-183,3041.15
103437,6375,-18,4136.41
113067,11035,35,4099.94
103284,12161,303,4223.04
104829,12669,330,2184.11
100556,7693,57,763.16
104469,8016,-119,4727.21
109357,11595,-101,1216.45
104378,7640,-122,4319.9
103990,4621,1,4492.46
110941,8423,16,2353.86
100725,6088,189,902.79
114186,11128,162,2573.88
103723,14205,312,2872.83
112343,14391,-71,2471.42
110990,3936,-176,4045.87
102233,12327,-240,793.55
108372,5439,-222,3934.01
101192,10194,-208,4371.99
112691,13619,-119,2352.9
107677,10889,-282,3518.45
100568,3293,104,3640.34
114569,13331,-261,4873.13
114692,12346,-171,1895.6
102265,10256,-58,2963.15
111313,13442,-232,4409.08
108274,12694,321,4079.71
102924,13224,335,2609.57
105147,8183,288,3426.39
103601,95,-8,1181.08
112560,3383,122,3684.61
105840,2634,-55,4339.0
112307,9649,-274,4700.94
101194,13789,-178,2138.63
111037,10759,343,1670.53
110578,4589,-43,3707.69
101540,13391,357,4237.56
113749,10496,232,4120.77
109291,11475,351,3498.75
103620,2512,-229,1269.72
103200,6109,-206,1066.58
114323,10618,-139,2052.26
101093,13421,210,1765.1
103611,10448,-147,2079.76
108468,6829,53,4261.76
108785,13255,109,3008.8
100491,4959,362,1888.97
114414,4312,354,2872.33
114755,205,90,3500.08
102314,9513,-42,3074.73
108451,10465,-77,1880.76
100335,9953,-175,3828.12
104541,767,-207,1570.95
105068,1731,-270,4821.72
101662,9905,-228,3270.34
104172,6490,299,2731.34
102197,5818,-24,4006.57
104234,11832,104,641.97
107075,3526,34,2284.74
102263,1251,-128,2322.54
114602,12584,-171,3695.12
114084,7730,356,4319.81
110422,10620,228,1689.64
112599,4008,49,842.04
104558,14047,359,1219.71
100943,12793,-360,3163.29
111581,8634,-220,4697.85
102421,4505,24,2509.4
106256,13634,-322,3903.04
112497,4330,246,3006.53
101633,14157,-281,2624.74
107075,6629,46,4961.83
114030,1668,64,2340.33
105409,2644,-74,2699.62
103605,5606,-317,2062.03
105612,4475,-190,2178.5
112685,12049,-350,1613.94
107110,14850,77,2129.6
107837,14733,-14,1819.29
113022,14294,-197,1963.52
113309,6985,-264,2110.59
108275,13907,108,4925.07
111732,13032,-118,1342.26
106817,10504,-192,2552.84
108686,5447,301,3614.28
108130,2186,164,3578.65
107434,3066,-259,1452.9
106874,11930,-199,751.43
102305,9096,-49,4470.47
100132,6534,162,3901.39
102619,14737,-50,3492.14
100283,10125,131,3327.34
109999,5375,235,1692.88
109180,6669,195,4225.49
111345,9467,-140,3213.79
113726,2910,147,2085.72
113636,9906,-259,2847.68
110850,9268,-125,1021.45
107971,13884,132,4222.97
104900,4589,350,977.47
111519,9004,-179,3415.05
107762,6988,-155,1115.52
103167,10564,260,4749.39
104436,10760,-186,3442.22
104232,14860,265,3176.38
110747,5622,-231,4012.67
107761,12037,89,1882.17
113377,11860,225,2115.88
103122,3706,-274,1800.57
113511,2027,305,1954.48
107052,11738,300,3018.55
112537,5012,267,761.14
102861,5451,-218,2881.72
102040,4624,204,1215.48
105221,4006,350,4990.9
109660,2065,-144,4525.65
101280,8010,101,2980.96
113607,10046,293,1780.01
114086,11770,183,3290.14
107116,9370,89,1578.94
102798,11617,-66,2205.91
111643,8830,-336,3287.67
112104,9395,38,4583.27
110602,7514,-308,3308.41
103356,3022,-304,4527.6
114463,4636,141,1942.57
103259,3461,-15,4665.28
114714,6526,-245,4592.25
102080,11429,70,4602.61
108087,14514,-265,1097.72
103394,12613,-234,3240.36
111240,3617,-267,4806.82
107195,2185,222,3400.81
100814,609,209,4050.34
102253,2173,5,4847.75
105846,13971,30,4471.37
112582,2737,160,3579.5
112824,11053,319,772.46
114607,2395,-173,3468.12
107214,13270,-265,899.76
105098,422,-17,3405.98
102385,6417,343,3125.58
108207,5320,231,1803.02
113081,12592,-357,2361.66
101639,9923,259,2687.5
110533,3842,-260,2878.73
101158,10474,272,2750.58
105494,12111,307,3419.92
112577,9438,-46,3213.54
103347,9428,172,4039.28
105926,3703,212,3177.39
110882,6324,73,2915.26
112655,9850,-318,1220.92
105548,10654,173,1413.78
101144,4499,-62,1639.86
112139,13112,-357,4223.4
112457,8541,-70,1727.68
112989,246,-43,4225.49
111065,6195,-250,2562.47
106818,7128,356,886.11
107963,4356,-340,2671.0
101704,13236,187,1648.61
113984,14452,-288,1552.77
110874,3938,325,3489.49
100588,2936,346,2539.89
108651,6941,-14,3369.17
101326,280,-303,702.2
110995,7234,-152,1275.25
111061,12441,-359,2397.16
104428,8889,-183,2645.68
108013,1617,289,3266.5
110650,4951,245,3597.96
100744,12025,-338,2003.07
100739,9644,-197,1093.98
107430,7405,-162,4837.02
109307,14176,142,3984.15
106970,5254,73,3587.7
102790,10691,355,2224.17
106385,11343,352,2052.88
110257,1240,170,4936.51
108634,8555,57,2543.99
104375,8230,279,3645.39
111047,11346,-314,1192.06
103742,4468,155,1802.49
109415,1160,-155,3698.42
111299,4056,-336,4154.93
102891,1966,-43,2610.71
102543,3476,-265,3844.59
106988,2542,-340,3363.3
100213,3098,-283,4830.84
101085,4986,-182,4760.47
113905,3554,-94,3778.61
104455,10252,-289,4357.14
111353,6986,-347,705.19
108575,2379,-23,4970.96
108601,11250,-94,3747.66
111328,11299,309,3272.61
112542,4050,-216,4001.68
111116,7032,-229,4984.74
101909,5262,195,3078.16
100682,14802,-310,4410.59
102957,14106,-365,3649.99
106344,234,-364,2816.72
103085,13040,-288,4263.42
105464,3285,-195,2184.83
111328,7799,89,3025.07
110908,12131,-164,1837.83
106790,1887,35,3497.34
111420,7129,225,4459.26
113340,4998,66,3453.33
102750,10333,-239,1709.23
109713,12564,127,3734.64
113680,178,-210,2602.24
102923,9408,120,4285.9
109571,7993,-6,1959.97
110075,4525,-67,960.54
100086,6089,-85,3081.45
107211,12235,-14,752.26
111157,1225,-6,2350.58
114100,3172,-350,4934.76
106371,5597,-81,2948.47
103290,5545,276,1839.74
113466,5518,89,4885.64
103155,6085,-181,846.72
101085,12569,-292,1055.26
113214,13024,-14,2223.14
102855,11117,341,3630.14
112546,534,286,1134.15
106917,13475,-358,3075.2
114776,12526,-279,3397.14
110583,12412,-223,1604.24
113025,6392,-136,1684.26
104586,4552,288,1477.43
112445,8402,-186,3369.6
108562,1204,102,2645.5
108200,14499,-240,1082.63
105811,12413,-363,2276.23
114846,1926,-298,3560.13
107566,12257,-182,1213.23
101924,13261,-108,4518.22
105940,278,283,655.32
110077,3047,115,3900.4
114213,3107,278,3055.78
111808,5597,-354,4524.76
106546,3118,-282,3171.85
110033,5693,-329,1669.07
104903,1808,160,1624.26
104781,3014,-182,2492.06
107956,4728,-159,4651.25
108628,4634,-320,4699.36
101853,5177,-67,2360.88
107008,222,57,4836.01
110248,9127,253,1802.7
107348,5385,-198,1984.93
103635,548,148,3292.15
108909,12036,-361,1696.37
108562,2427,-300,3184.5
109236,10123,-181,3182.43
109799,3482,216,2738.0
113582,3707,140,4131.62
112038,9253,95,1691.23
102902,2695,21,1807.4
106388,1920,56,2833.18
105068,7084,318,3803.89
100406,6129,116,4838.56
110978,12367,285,2475.9
103783,1619,-326,756.57
109590,12370,-203,3382.27
108367,859,321,1440.64
102937,14184,309,1012.83
100784,14866,144,3483.17
105104,398,-353,1353.39
112893,7606,244,4967.22
102204,10334,16,2330.77
103336,7468,-280,4715.72
104630,1966,56,3979.08
109119,13921,-198,2068.49
109494,10238,308,4417.91
105752,4093,202,4820.98
102743,3295,125,2120.72
101963,12231,-337,2408.56
100978,2032,-156,1326.7
105017,7062,-5,760.89
108954,6694,154,1397.24
113600,12810,54,3613.68
109304,13981,83,3350.2
110660,5470,-34,3821.82
104496,12127,-109,4399.65
100668,6302,-311,4643.05
113470,9211,34,2527.34
112497,11871,-197,1727.32
113086,8561,-276,3052.59
108130,13228,337,1092.84
113684,2616,-354,3756.27
113247,11374,-267,3983.21
102217,11112,319,1112.44
110843,14571,86,4163.89
100797,10679,238,734.72
109990,14157,-40,3486.91
111670,7411,-293,3247.88
107557,7596,227,2203.49
108000,5552,80,824.12
112376,5152,-116,4023.44
105054,2106,304,757.42
103799,9857,-37,1081.4
106955,12995,183,1524.49
101613,6949,262,4992.51
101585,14654,95,2532.29
104371,11227,-12,1646.41
108652,11721,-66,778.1
106552,7427,-116,3995.4
110428,9382,-347,4824.72
114304,9703,-17,616.54
101641,357,161,3336.22
100276,11649,-67,1405.09
107946,7003,81,2135.25
101647,12131,225,2186.65
106707,14569,-9,1429.33
104588,3160,45,3220.45
106778,10042,338,2782.99
103990,12156,-298,2877.85
103710,11577,132,1443.43
109853,581,-300,3743.0
106604,6434,24,3379.73
107351,1225,-324,1624.34
112229,10398,241,3998.02
110729,11852,61,4443.12
100190,10092,-233,1821.97
106964,4482,258,1412.18
114732,5890,8,3825.47
100719,2932,250,3562.64
109168,7641,77,505.19
111045,11542,-317,2570.3
107360,1159,-307,784.69
111369,1491,168,1881.11
102707,1492,-147,4342.06
107663,8616,221,2413.01
108272,1221,259,2040.04
105177,3131,192,4240.18
105943,6146,354,3777.71
110034,5104,-254,1256.0
100963,711,-49,3884.05
112924,855,-99,4040.46
101697,13549,237,2618.22
112079,5511,-352,1056.37
109727,10076,-337,4133.74
108886,4864,-130,3872.63
102101,12505,-190,717.44
104543,474,-115,1564.01
109108,13590,-150,4884.26
105149,13153,-88,3198.85
112980,9541,190,1610.9
101221,8825,323,3967.8
104519,14444,-59,3204.42
107322,9314,-7,1024.27
113073,6726,-281,3247.44
111719,1827,-351,2008.88
111542,4801,-102,3101.71
114759,6775,39,621.24
110525,4919,-312,779.06
107303,9149,-358,3913.3
100954,1384,-131,1072.35
102263,8561,210,3518.58
113070,12317,-167,3339.87
102313,12031,53,1812.43
105521,12886,-217,2598.03
105338,9296,255,2069.8
102289,9158,217,3644.96
109012,216,-177,1680.8
105752,3771,315,3864.53
105928,892,269,1211.11
113911,2579,-284,4402.89
114878,2335,203,4164.47
107267,10542,20,3118.27
110194,7228,196,3075.85
104202,9925,-316,922.48
109287,11135,311,953.42
104458,5411,347,4792.84
106493,575,222,2657.87
101075,12616,236,3218.44
103843,2080,-126,1115.05
104756,6050,-205,1357.53
104534,11543,-251,926.42
103745,8418,-184,1582.35
110498,1169,162,4895.88
100173,5737,190,3131.56
100022,12310,-272,580.8
113672,1521,-255,4762.31
113994,1214,46,3339.93
105126,11691,131,4673.55
113830,5431,213,2699.24
113974,4141,215,3265.92
108792,14399,-254,1167.45
113702,9219,-250,1891.77
113484,9504,236,4844.83
102491,9315,248,3128.1
108434,14448,-15,3806.65
102531,2735,49,1483.03
109115,12403,35,1680.2
109043,12851,50,3461.84
111926,11708,265,4764.38
111234,8517,-118,2542.06
101033,8416,-295,893.52
101797,367,-181,4959.57
110831,684,197,2477.43
114496,10301,336,3443.61
104493,10360,122,1924.48
111811,11922,87,1565.78
113126,5403,313,3605.64
108545,6430,-256,1485.16
101315,9714,191,4121.79
109318,6039,-246,2460.35
100864,11893,197,3460.64
101169,12150,34,628.42
106328,3352,-279,4929.52
103262,1123,218,2274.98
103705,9789,-284,2871.22
107213,129,100,2001.41
106887,8125,218,2374.37
101546,13190,-177,2881.85
109210,1512,49,4707.56
106596,10730,288,4781.31
105836,14703,-137,2814.1
110265,10293,-85,623.47
103964,6432,-19,1839.31
105117,9670,-320,4280.3
114014,1198,-126,3510.63
112434,5912,-249,3907.2
105601,12527,152,2016.51
111985,13104,47,826.19
112572,10199,300,2456.42
112852,8430,-188,2293.55
105296,12208,-317,827.07
114157,8520,-185,2051.5
109687,10158,31,1048.45
105806,14955,-339,3262.31
113708,9813,-39,4726.03
103296,943,275,3188.83
107972,515,97,4030.92
105069,1195,154,3289.43
102122,13493,-139,1474.89
112152,10684,-215,3491.95
113839,13735,131,4480.16
102447,5226,-44,3130.2
111834,5333,-141,4632.12
108679,8099,-174,2362.18
103666,10398,-321,1364.29
102811,5595,19,729.72
101413,5082,-203,3230.1
113551,8747,205,2022.76
114892,8895,24,3071.2
101728,2744,163,4542.89
102094,3350,-217,836.01
105392,12498,-266,3826.13
107079,2013,-254,972.35
105552,6969,140,882.3
113418,14176,-12,3177.75
113419,9562,294,4969.36
101338,5261,364,2323.12
103873,9067,-164,2996.45
110521,11121,-327,4717.66
100263,1285,246,3302.91
