SK_ID_PREV,NAME_PAYMENT_TYPE,CNT_PAYMENT,DAYS_LAST_DUE,DAYS_TERMINATION,SELLERPLACE_AREA,NAME_PORTFOLIO
11127,Cheque,3,468,-224,-32,Cash loans
7575,Cheque,23,469,-291,-25,Cash loans
5378,Cash,2,-345,164,-63,Cards
9885,Cheque,23,276,-204,-7,POS
14325,Cash,28,26,-33,27,Cards
1575,Card,8,424,-138,69,Cash loans
10975,Card,35,109,-174,32,Cash loans
7941,Cheque,4,-25,178,-76,Cards
11417,Cheque,6,42,256,5,Cards
5370,Cash,31,306,-244,-41,Cards
10516,Cheque,16,-145,1,50,Cash loans
3563,Card,18,-317,-231,30,Cash loans
9154,Cheque,5,-349,-36,73,Cards
12833,Cheque,12,-136,88,50,POS
3103,Card,10,116,-81,50,Cash loans
8355,Cash,2,294,133,76,POS
8347,Cash,14,-4,203,-87,POS
1358,Cheque,4,284,26,46,POS
3966,Cash,31,-4,-224,-87,POS
2981,Card,32,-34,-277,-99,Cash loans
11397,Card,21,154,22,-27,POS
7723,Card,21,-117,267,97,Cards
173,Cash,20,-360,257,96,POS
4845,Cash,32,-422,-196,-15,Cash loans
10455,Cheque,26,-154,31,85,POS
12630,Cash,2,473,242,-18,POS
8335,Cash,10,109,-267,-99,Cash loans
14239,Card,28,297,-106,38,Cash loans
10300,Cash,18,-52,10,-2,Cash loans
11303,Card,2,202,47,-50,Cash loans
469,Card,1,-305,223,-35,Cash loans
11685,Card,7,-455,224,-2,Cards
12245,Cheque,22,180,-193,-15,Cash loans
1960,Card,22,448,-145,52,POS
7505,Card,32,392,166,-40,POS
4433,Cash,8,423,-152,-59,Cards
7956,Cheque,31,-403,147,-93,POS
12376,Card,4,-91,-70,11,POS
10400,Card,31,433,50,14,Cash loans
9379,Card,35,149,268,21,POS
10793,Cash,29,297,-145,16,POS
10990,Cash,15,145,-195,32,Cards
7665,Cash,4,-18,-17,17,Cards
12700,Cheque,11,188,126,58,Cards
807,Card,20,392,-22,-29,POS
12100,Cash,33,-13,199,-40,Cash loans
3679,Cheque,15,348,-252,24,Cash loans
8174,Card,11,416,282,91,Cards
5879,Cash,19,-303,-252,-85,Cards
6730,Card,31,319,294,84,Cash loans
9680,Card,2,-283,-33,7,Cards
10491,Cheque,5,375,152,12,Cards
14777,Cheque,16,32,45,47,Cash loans
12462,Cheque,35,21,20,45,Cash loans
4848,Card,14,-169,-94,6,POS
11895,Cash,35,-384,-71,94,POS
7249,Cheque,23,326,144,68,Cash loans
11198,Cash,12,-423,-124,39,Cards
638,Card,26,-232,-76,-75,POS
11982,Card,26,296,-223,37,POS
10650,Cheque,19,190,-275,-68,POS
910,Cash,35,-408,-51,-94,POS
3859,Card,35,-140,62,38,POS
411,Card,22,-98,-231,0,Cards
8751,Card,11,-185,-60,-27,POS
2607,Cheque,29,-190,-41,-1,POS
2014,Card,9,434,-167,-84,Cash loans
6322,Cheque,26,78,51,68,Cards
14518,Cheque,14,-238,27,49,Cards
8869,Cash,33,401,-258,23,Cash loans
1194,Cash,2,229,-91,-2,Cards
7578,Card,22,-303,95,96,POS
11857,Card,31,212,114,53,POS
9025,Card,25,-76,-164,69,Cards
9969,Card,14,-494,-110,46,Cash loans
924,Cash,30,-163,-196,52,Cards
1496,Card,35,80,16,18,Cash loans
9048,Card,12,57,222,-15,Cash loans
11754,Cheque,10,-188,163,88,Cards
8960,Card,6,-230,60,-65,POS
13688,Cash,18,-211,-132,-80,POS
4101,Cheque,22,-122,285,6,Cash loans
6840,Card,4,-123,237,27,Cash loans
4421,Cash,28,223,-53,55,POS
11539,Cash,27,-325,-4,21,POS
4077,Cheque,14,384,-54,50,POS
5492,Cheque,19,166,211,99,Cards
7407,Cheque,34,367,133,69,Cards
1505,Cash,25,-474,-177,-60,POS
8378,Cheque,9,228,-238,14,Cash loans
3794,Card,27,70,139,39,Cards
10954,Card,25,-140,219,36,Cards
3353,Card,23,-495,260,38,Cards
9961,Card,13,-275,-169,-33,POS
5141,Card,24,244,173,-92,Cash loans
4431,Cheque,35,440,15,-9,Cards
3792,Cash,10,-244,-256,3,Cash loans
2627,Cash,22,101,-183,81,POS
10042,Card,23,236,142,-31,POS
6720,Card,6,-13,-262,-96,Cash loans
13583,Cheque,1,-423,-259,22,Cash loans
13420,Card,35,264,227,-74,POS
3789,Cash,1,118,210,-11,POS
908,Card,16,-69,-168,-1,POS
14826,Cheque,12,105,78,80,Cards
9029,Card,15,292,77,-15,POS
12519,Card,17,-318,-31,96,Cards
11567,Card,3,71,-147,93,POS
9465,Card,2,-228,-270,8,Cards
1787,Card,35,122,-58,11,Cards
7106,Cheque,11,260,226,91,Cards
9384,Cheque,5,140,-6,-36,Cards
4938,Cash,16,201,-70,-32,POS
11170,Cheque,1,-245,187,-35,Cash loans
11901,Card,11,206,-174,61,Cards
5444,Card,23,-474,4,-32,POS
13126,Card,33,330,-66,96,POS
10096,Cheque,2,-406,-190,-97,Cash loans
14417,Cheque,2,-496,-218,56,Cash loans
12593,Cash,8,317,-46,6,Cash loans
2504,Card,35,320,19,61,POS
3054,Cheque,13,235,70,-71,Cards
9803,Cash,18,349,204,-99,POS
3502,Cash,6,-486,117,-89,Cash loans
14228,Card,31,-35,284,-2,POS
3506,Cheque,13,372,-296,28,POS
10314,Cheque,28,-111,226,16,Cards
14638,Card,19,320,-252,-9,POS
9551,Cash,19,355,-183,-1,Cash loans
7481,Cheque,21,103,-13,-36,POS
13926,Cash,3,-490,-250,18,Cash loans
4619,Cheque,26,-369,-251,35,Cash loans
7019,Card,19,223,-174,26,Cards
3805,Cash,21,147,-133,94,Cash loans
5337,Card,5,180,-45,-16,Cash loans
4393,Cash,7,170,296,90,Cash loans
787,Cash,33,-257,203,7,Cards
4291,Cash,7,207,9,-37,Cash loans
8487,Cash,10,15,132,-8,POS
8835,Card,16,-302,58,35,Cards
298,Cash,5,-128,-106,31,Cash loans
9914,Card,27,124,-294,63,Cash loans
4990,Cheque,28,168,-51,-93,POS
2575,Card,18,305,-171,-14,Cards
13924,Card,24,-182,-178,-49,POS
2784,Cash,20,-197,-137,10,Cash loans
4875,Cheque,7,144,-244,-59,Cards
5706,Cash,2,204,-103,31,Cash loans
14371,Card,11,-90,46,96,Cash loans
7719,Card,24,402,221,-44,POS
2702,Card,23,-236,-150,-56,Cards
10179,Cash,4,20,-273,6,Cash loans
2204,Cheque,35,-205,79,80,POS
6252,Cheque,2,467,-80,-31,Cash loans
12477,Cash,23,-295,221,64,Cash loans
4667,Cheque,5,-317,-82,84,Cards
8447,Cash,14,-150,232,69,POS
762,Cheque,32,220,-128,82,Cards
9169,Card,6,102,71,-25,POS
4529,Cheque,22,443,-159,4,Cards
8754,Cash,13,150,127,78,Cards
3890,Cheque,34,-398,182,-46,Cash loans
13215,Card,4,-224,-31,95,POS
1265,Cheque,23,-271,-35,-99,Cards
9600,Cash,1,8,279,76,Cards
3909,Cheque,32,-272,178,52,Cards
12110,Cash,25,283,248,-92,POS
7776,Cash,30,-53,173,-86,Cards
3768,Card,31,-319,-241,-49,Cards
6925,Cheque,13,-175,-209,-76,POS
8680,Cheque,28,-319,184,34,Cash loans
3203,Card,33,-46,-61,45,Cards
795,Cash,9,-345,-245,-83,POS
10203,Card,24,-403,-135,-27,Cash loans
14271,Card,27,-133,11,-65,Cash loans
7978,Cash,3,234,-126,24,POS
10612,Cash,26,-381,185,86,POS
8776,Cash,20,256,-24,35,Cards
5772,Card,20,174,-175,22,Cash loans
6417,Cheque,7,464,-210,47,Cash loans
5785,Card,1,426,-201,-65,Cards
3956,Cash,15,456,-67,-50,POS
6600,Card,34,26,36,11,Cards
1092,Cash,11,332,11,16,Cash loans
1710,Cash,14,-343,-127,90,POS
9629,Cash,34,-268,-17,-10,Cards
10246,Cash,20,194,255,-2,Cards
13332,Cheque,4,352,-241,82,Cash loans
938,Cash,31,34,174,-86,POS
11574,Card,34,-217,-191,95,Cash loans
12107,Cash,7,203,12,82,Cash loans
3060,Card,25,115,174,81,POS
1457,Cheque,9,-122,-133,-66,Cash loans
13084,Cash,23,248,-230,39,POS
5802,Cash,23,145,32,7,Cards
10355,Cheque,9,-132,11,-66,Cash loans
14450,Cheque,4,323,-295,-64,POS
9276,Cheque,29,-493,24,-9,Cards
683,Cheque,21,114,34,50,Cash loans
384,Card,22,-439,-228,5,Cards
2596,Cash,17,491,-243,-12,POS
5886,Cash,24,255,-10,52,Cash loans
3092,Cheque,12,-245,80,67,Cash loans
11485,Cash,27,298,-67,55,Cards
4788,Cheque,29,-247,-218,75,Cash loans
3983,Card,16,58,-24,-64,Cash loans
12252,Card,8,495,-28,68,Cards
8616,Card,23,-242,162,80,Cash loans
13522,Card,32,484,146,57,Cash loans
8954,Card,1,-28,176,-69,Cash loans
7335,Card,27,-77,-295,94,Cards
2216,Cash,35,18,-221,67,Cards
12837,Card,30,105,-38,60,Cards
4859,Cash,1,-471,39,-41,Cards
5701,Cheque,8,356,24,-83,Cash loans
12907,Cheque,7,261,-21,19,Cash loans
9984,Cheque,4,382,71,-100,POS
11179,Cash,8,443,273,-50,Cash loans
7239,Cash,21,227,-129,21,POS
2004,Card,8,439,-128,51,Cash loans
14531,Cash,3,20,-204,-77,Cash loans
10819,Cheque,1,313,70,-93,Cash loans
37,Card,17,57,-62,78,POS
1173,Card,21,160,-220,84,POS
8891,Card,24,218,-80,83,POS
2176,Cash,28,481,151,-27,Cash loans
5871,Cheque,15,84,283,57,Cash loans
5784,Cheque,16,357,189,-92,Cash loans
945,Card,4,57,186,70,Cards
8446,Cash,28,-276,-62,-91,Cash loans
11102,Cash,17,336,-246,-72,Cash loans
2829,Card,8,470,-21,87,Cash loans
11563,Card,3,94,42,13,POS
11997,Card,4,-80,-186,11,Cards
2982,Card,33,-109,-206,64,Cards
2850,Cash,1,-454,273,60,POS
2221,Card,9,-406,-137,39,Cash loans
6134,Card,1,-357,-235,-93,Cards
4136,Cheque,5,471,185,-55,Cards
8018,Cash,1,-346,-233,70,POS
196,Card,5,495,167,-49,Cards
917,Cheque,10,-192,-222,82,POS
2423,Cash,13,-481,-144,42,Cards
3283,Cheque,26,461,-245,-86,Cash loans
11643,Cheque,31,-155,43,-19,POS
13140,Card,27,-450,85,-78,Cash loans
10213,Cheque,3,-480,48,6,Cash loans
3844,Cash,32,266,266,-80,Cards
5873,Cheque,25,42,244,-47,Cards
586,Card,31,156,-178,-76,POS
12993,Cash,8,-218,105,-81,Cash loans
7927,Cash,3,97,43,-47,POS
12140,Card,2,-311,-82,-98,Cash loans
11579,Cheque,18,-320,66,-51,POS
6880,Card,20,405,261,29,Cash loans
11218,Card,32,19,-152,66,Cards
3683,Cash,31,378,55,84,Cards
5496,Cash,22,286,-117,34,Cash loans
11163,Cheque,9,44,115,51,Cash loans
9607,Card,3,-463,279,54,Cards
3018,Card,27,274,-180,22,Cards
1139,Cash,17,363,-295,-48,Cash loans
12168,Cheque,3,455,-283,94,Cash loans
10023,Cash,14,494,196,80,Cards
10139,Cash,31,492,83,53,POS
5456,Card,11,53,271,10,Cards
5316,Cheque,19,-387,245,-33,POS
4114,Cash,3,-192,-195,5,Cash loans
4690,Cash,19,133,-121,-23,Cards
3245,Cheque,14,-348,133,96,Cards
10844,Cheque,32,-193,85,-70,Cards
12884,Cheque,16,120,85,24,Cards
4929,Card,34,-470,-139,66,POS
6138,Cash,3,257,218,-72,POS
14670,Cheque,1,239,119,0,Cash loans
715,Cheque,31,-94,-105,82,Cards
7746,Cash,16,-477,-184,-97,Cash loans
8769,Cash,4,-146,-28,-62,POS
8281,Cash,12,485,144,-94,Cards
6868,Cheque,24,-464,201,68,Cash loans
3027,Cash,15,306,-79,-27,Cash loans
6485,Card,34,-272,153,76,POS
14918,Cheque,6,81,-292,3,Cards
7145,Cheque,2,125,-87,-37,Cards
5804,Cash,3,-122,-150,95,Cash loans
10580,Cash,35,280,-213,-85,Cash loans
14798,Cash,30,446,-116,39,Cards
7709,Card,22,440,-55,28,Cash loans
11488,Cheque,29,-67,-239,50,Cash loans
4864,Cash,5,-316,116,-67,Cash loans
10353,Card,22,391,282,-74,Cash loans
5684,Cash,19,-199,58,-12,Cash loans
6749,Card,33,365,72,-36,Cards
10917,Cheque,31,-381,253,65,Cards
11805,Card,2,328,-239,7,POS
1031,Cheque,23,-254,52,-64,Cards
6185,Cash,30,313,294,63,Cash loans
6542,Cheque,18,457,27,36,Cash loans
1087,Cheque,19,-201,288,-47,Cards
10800,Cheque,5,313,-11,17,POS
14659,Card,32,490,117,-100,Cash loans
6731,Cash,17,104,-243,3,POS
13393,Cheque,28,-254,-205,18,POS
1812,Cheque,16,362,73,-58,Cash loans
14250,Card,8,295,275,47,POS
559,Card,26,141,-65,-19,Cards
6513,Cheque,21,480,-211,-21,Cards
6551,Cash,26,47,-243,-15,Cards
10931,Cash,1,-482,288,6,Cash loans
2056,Cash,32,20,45,-41,POS
12746,Cash,22,185,-291,-88,Cash loans
14018,Cheque,1,413,-227,-98,Cash loans
9648,Cheque,21,108,-263,37,Cards
11074,Card,8,-202,-90,-50,POS
10578,Card,34,476,91,-18,Cards
981,Card,5,-31,178,93,POS
10970,Card,13,425,-179,45,POS
4883,Cheque,9,-156,20,-80,Cards
2897,Cash,7,474,238,95,Cards
11147,Cheque,15,-449,34,-29,Cash loans
12284,Card,8,323,275,-95,Cards
8588,Card,15,-236,97,49,POS
1236,Cash,4,-438,-129,-10,Cards
5202,Cheque,32,-4,-280,-17,Cards
14391,Cheque,33,401,-145,88,Cards
6166,Cash,32,-352,-112,90,POS
629,Cheque,27,-18,104,65,Cards
7923,Cash,3,-207,-89,31,POS
6236,Card,22,78,-70,37,Cards
8886,Cheque,35,378,121,91,Cards
10789,Cheque,25,-303,108,-85,Cash loans
2894,Cheque,32,-395,3,19,POS
6120,Cheque,32,93,-81,-16,POS
7128,Cash,16,-463,-125,68,Cash loans
8782,Cash,30,54,172,90,POS
3278,Card,29,268,19,41,Cards
2293,Cheque,9,-332,-162,52,Cash loans
13147,Card,28,229,63,49,Cards
10200,Card,28,253,-138,72,Cards
3977,Card,13,-215,9,-59,POS
2425,Cash,22,-124,71,16,Cash loans
9500,Cash,4,371,-189,87,Cards
3444,Cheque,15,-82,-290,78,Cards
2212,Cash,13,367,284,25,Cash loans
5255,Cheque,20,-25,65,24,Cards
7867,Cash,11,-118,253,-33,Cash loans
3419,Cheque,30,-19,290,32,POS
4107,Card,22,153,200,-35,Cards
12528,Card,7,357,270,-55,POS
1253,Cash,24,363,-112,-86,POS
14096,Cash,1,-69,-70,-100,Cash loans
6770,Cheque,12,-129,276,-28,Cash loans
1029,Card,27,14,253,-59,Cards
10052,Cheque,17,437,75,-33,Cash loans
1497,Cheque,31,-275,255,3,Cash loans
7790,Cash,2,-398,-38,-8,Cards
14306,Cheque,3,-447,264,-41,Cash loans
8056,Cash,23,-315,-52,13,POS
14441,Cheque,22,-327,8,-81,Cards
12719,Card,30,327,-262,-19,Cash loans
725,Card,14,193,51,-81,Cards
3761,Cash,2,149,-58,34,Cards
493,Card,12,52,181,-39,Cash loans
13657,Cash,5,-355,182,87,Cards
13562,Card,15,-413,-139,-80,POS
5909,Cash,23,321,81,25,Cash loans
12912,Cheque,23,-120,129,-10,Cards
6379,Cash,21,487,167,96,Cash loans
11622,Cheque,29,-240,216,-27,POS
13365,Cheque,29,-402,-254,21,POS
8789,Card,14,364,0,16,Cards
8432,Cash,8,-337,-156,-99,Cash loans
6835,Card,35,-201,272,-68,Cash loans
487,Card,15,-429,160,60,Cards
9588,Cash,19,-152,-300,-41,Cash loans
4473,Card,25,97,-201,-67,Cards
10133,Cash,26,360,-97,-61,Cards
3648,Card,17,476,-199,71,POS
7834,Cash,17,212,-74,39,POS
9721,Cheque,23,180,-6,-92,POS
1713,Cash,22,246,-50,61,Cash loans
11140,Cheque,19,-335,-70,-39,Cards
7237,Card,9,-294,141,-65,POS
11378,Cash,33,325,286,51,Cash loans
13818,Cash,27,424,-272,-2,Cards
5320,Cash,27,-222,226,-1,Cards
13548,Cheque,27,-142,78,-93,POS
3984,Card,26,406,-285,-19,Cards
5442,Card,4,378,251,2,Cash loans
6943,Cheque,22,-68,85,19,POS
4253,Cash,19,-61,247,89,Cash loans
4061,Cheque,12,485,-45,81,Cash loans
7631,Cash,19,-237,-249,-53,Cards
5480,Cheque,5,-85,298,-11,POS
4659,Cheque,30,61,48,-57,POS
8920,Cheque,17,-208,99,-28,Cards
1434,Cheque,27,-399,9,-41,Cash loans
5778,Card,34,259,-17,64,Cash loans
14648,Cheque,23,-178,199,-36,Cash loans
8794,Cheque,27,204,195,-100,POS
3976,Cheque,27,103,-28,53,POS
544,Card,22,-404,59,24,Cards
4878,Card,19,238,-262,-31,POS
12898,Card,16,-154,-46,-61,POS
13625,Cheque,29,-485,259,-48,Cards
14415,Card,4,317,-124,80,Cards
194,Card,9,375,-201,-52,POS
1109,Card,18,263,298,8,Cash loans
2732,Cheque,16,292,-78,8,Cards
12807,Cash,27,91,-82,-68,Cash loans
4488,Cash,30,121,169,91,Cash loans
11126,Card,15,34,158,-8,POS
5339,Cheque,30,475,-132,80,POS
1054,Cheque,1,243,-60,-86,Cards
5806,Card,19,245,-193,40,Cash loans
11081,Card,1,-159,-12,-78,POS
7025,Cheque,8,-56,242,-10,Cash loans
13375,Cash,23,380,-35,-55,Cash loans
11450,Cash,12,-41,-250,66,Cash loans
236,Cheque,28,-138,69,-71,POS
9079,Card,10,398,194,-72,Cash loans
1981,Card,12,-419,-300,86,Cash loans
280,Cash,16,-133,254,4,POS
4185,Cash,28,-17,137,-57,Cash loans
2481,Cheque,7,-124,-275,28,POS
2322,Cash,11,-363,-142,-25,Cards
1431,Cash,30,306,-33,10,Cards
729,Card,24,146,57,-34,POS
11511,Card,11,-158,134,59,POS
6570,Card,29,-356,-147,96,POS
6157,Cash,34,-359,121,-64,POS
11281,Cheque,22,274,82,35,Cards
7240,Cheque,27,-121,-298,-58,Cash loans
14416,Card,22,14,219,67,POS
4645,Cash,35,-30,19,12,Cards
10620,Cash,12,-169,141,-61,POS
14155,Cash,21,-406,273,58,Cards
13501,Cash,21,456,53,56,Cards
310,Cash,22,-423,-232,-86,Cards
10766,Cash,28,-51,-204,51,Cards
14185,Cash,11,469,49,9,POS
5385,Cheque,23,-401,269,-6,Cards
8129,Cash,23,390,264,63,Cards
12339,Cheque,25,-231,-185,-7,Cards
2061,Cash,6,-454,181,-14,POS
517,Card,23,25,-296,-46,Cash loans
10290,Cash,18,67,-118,58,Cards
9360,Card,6,-294,-273,-41,Cards
2898,Cash,5,-362,193,-96,Cash loans
13069,Cash,3,-42,159,62,Cash loans
2498,Card,35,-337,-147,31,Cards
11053,Card,29,123,56,-52,Cards
13724,Cash,10,-182,73,28,Cash loans
8145,Cash,4,-420,270,-77,Cash loans
749,Cash,25,404,231,-54,Cards
9893,Cash,8,113,-279,-79,POS
9894,Cheque,28,475,95,-42,POS
14532,Cheque,9,-167,269,-65,POS
3643,Card,10,130,-247,56,POS
12705,Cash,7,462,-79,32,Cash loans
8090,Card,17,-499,-147,-3,POS
6638,Cash,10,-30,-290,78,POS
14326,Cheque,33,115,-250,-3,POS
14610,Cheque,28,370,-87,47,Cards
576,Card,11,-345,-272,68,POS
12004,Cash,31,-391,226,-100,Cash loans
7778,Cash,7,432,233,93,Cash loans
11915,Cash,22,-75,-227,44,Cash loans
3403,Card,4,381,161,37,Cards
7667,Cash,8,-333,182,48,POS
3364,Card,31,399,-159,64,Cards
10871,Cash,14,-466,59,62,Cards
6296,Cheque,12,96,-25,96,Cards
12464,Cheque,20,276,-28,93,Cash loans
5441,Cash,22,187,240,54,POS
12144,Cash,25,-453,234,93,Cards
4207,Card,14,-221,-145,2,Cash loans
4837,Cash,26,-4,-263,-14,POS
11525,Cash,16,-447,201,-61,POS
6705,Cheque,25,-47,-55,71,POS
788,Card,2,413,119,26,Cards
6248,Card,34,210,-280,96,Cash loans
9897,Cash,7,388,295,40,Cash loans
7488,Card,13,-232,67,56,POS
8759,Cash,29,-370,225,51,POS
10810,Card,33,-174,18,-82,Cash loans
12891,Card,25,-421,-21,-90,Cards
9701,Cash,20,-212,-243,34,POS
9064,Cheque,21,-14,-211,-56,Cards
5888,Cash,4,324,-127,27,Cash loans
4815,Card,6,-359,1,96,POS
2372,Cash,35,94,-42,22,Cards
13765,Cheque,7,425,103,6,Cards
14519,Cheque,21,-4,288,-47,Cards
8063,Cheque,4,185,10,-84,Cash loans
9474,Cash,31,150,243,-46,POS
3101,Cheque,14,-197,-291,69,Cash loans
8694,Card,1,22,150,54,Cards
3711,Card,3,-476,205,-86,Cards
2202,Cash,4,472,-248,68,POS
13343,Cheque,1,391,247,-1,POS
5783,Card,4,242,24,-17,Cash loans
6342,Cheque,15,-485,31,-42,Cards
2718,Cheque,30,-177,23,4,POS
3734,Cash,1,-360,-83,-49,POS
1832,Card,16,21,-163,-85,POS
6533,Cheque,1,271,-19,-72,POS
267,Card,29,-231,70,-70,Cash loans
867,Card,2,-227,106,-89,Cash loans
4839,Cheque,22,-367,-147,98,Cards
34,Cheque,22,-91,137,-61,Cash loans
6103,Card,2,-330,177,76,Cards
12841,Cheque,30,375,-206,14,POS
9945,Card,11,-469,-168,-9,Cash loans
259,Cheque,23,-97,-91,-90,Cash loans
10316,Cheque,20,-89,-79,-70,Cash loans
14109,Cheque,9,145,-36,-51,Cash loans
10673,Card,3,-280,19,-94,Cash loans
12760,Cheque,15,-115,291,-2,POS
2313,Cash,8,277,-103,-63,Cards
13569,Cash,28,-191,213,28,Cards
2991,Card,35,258,-42,-44,Cards
7333,Cash,10,211,270,2,POS
13985,Cheque,24,324,-56,69,Cards
4310,Card,12,383,-68,99,Cash loans
10531,Cash,35,82,-240,91,Cash loans
13083,Card,22,112,33,-28,POS
9484,Cheque,24,-327,215,-62,Cash loans
4349,Cash,20,-1,17,8,POS
14177,Cheque,33,288,-146,-92,Cash loans
11063,Card,27,256,-184,7,POS
10390,Cheque,27,425,15,-28,Cards
265,Card,10,-318,-250,-73,Cash loans
11770,Card,14,293,152,-61,POS
11094,Cheque,33,-277,-274,48,POS
14050,Card,3,23,264,-92,POS
10738,Cash,12,-126,129,87,Cash loans
2823,Cash,24,319,-82,69,POS
11744,Cheque,7,-61,-43,8,Cards
10093,Card,2,427,-205,-85,POS
9239,Cash,21,455,-237,78,POS
5155,Cash,22,239,110,-22,Cash loans
1622,Card,6,392,62,-80,POS
1052,Card,15,-405,258,-67,Cash loans
547,Cash,27,-54,-120,-94,POS
13975,Cheque,25,-251,-121,81,Cards
4981,Cash,9,354,106,-88,POS
14879,Cash,9,208,71,76,Cash loans
10685,Card,33,-216,-233,25,Cards
5,Cheque,32,-23,-263,79,Cash loans
2539,Cheque,2,-148,-30,-86,POS
623,Cash,23,-134,-99,-62,POS
1788,Cash,17,-446,-282,-51,Cards
12908,Cheque,4,457,-93,-84,POS
2710,Card,27,56,87,-93,Cash loans
4720,Card,3,-407,272,6,Cash loans
7721,Card,25,-461,-225,-4,Cash loans
12022,Card,25,-241,49,94,Cards
8513,Card,22,99,271,-85,POS
10512,Cheque,19,151,-29,74,POS
1038,Cash,24,275,-130,11,POS
671,Cheque,23,67,33,1,Cards
13598,Cash,32,241,177,-74,Cash loans
13445,Cheque,28,3,277,-61,Cards
4763,Cheque,26,-450,-1,-47,Cards
11928,Card,16,459,285,-34,Cash loans
7891,Card,1,-486,141,33,POS
14125,Cheque,23,-467,-293,32,POS
3305,Card,24,434,-79,-53,Cards
11891,Card,20,329,217,-55,POS
