SK_ID_CURR,SK_ID_PREV,CNT_INSTALMENT,MONTHS_BALANCE
111481,10207,1,-23
111813,2437,11,-8
102524,9077,19,-38
100661,12217,9,-40
114548,9180,8,-63
100484,5353,7,-69
112804,12466,11,-60
100165,9671,11,-36
105496,6166,5,-14
103093,5145,14,-92
107081,14326,2,-45
112703,8101,5,-88
105361,1471,17,-13
111955,5063,15,-47
107187,8974,2,-9
114441,2090,17,-80
114360,14033,6,-20
112352,8276,8,-87
107408,14231,10,-66
106383,14702,2,-100
107709,4696,1,-26
108162,697,6,-71
108323,3454,5,-7
102810,5222,4,-59
105607,6014,8,-39
113638,953,1,-60
112093,9479,2,-19
110707,11896,4,-16
102461,2830,13,-25
114539,6084,15,-70
107789,8748,10,-100
112086,13073,14,-58
105887,2549,14,-92
102011,11163,18,-76
113833,2413,18,-42
108921,5466,3,-21
111542,58,2,-51
100188,11514,19,-32
108030,7171,17,-81
113879,4730,12,-21
109989,12649,14,-44
113654,5637,3,-79
107628,775,11,-58
108920,7677,5,-70
103626,2302,5,-77
110691,8864,15,-29
106392,11622,17,-19
100969,12124,2,-92
112969,10789,5,-23
105765,714,8,-27
100441,6217,9,-72
106117,3561,6,-47
102575,3179,10,-1
101603,12921,6,-19
113226,11919,3,-94
111904,9122,14,-7
110890,798,4,-8
100077,1274,5,-88
113161,577,15,-93
100766,261,1,-38
103181,3130,3,-66
107085,1069,11,-7
104630,2429,18,-34
103200,6700,12,-24
113729,6885,18,-42
113664,9871,13,-88
103361,4576,18,-1
109450,10255,8,-70
106194,2984,1,-33
102528,11263,6,-75
102681,9799,6,-55
108536,14689,6,-98
103475,9640,5,-63
105698,12912,10,-97
111165,8729,2,-94
107651,6314,1,-97
111927,12246,1,-92
103278,13694,12,-9
101465,11963,5,-82
101592,50,1,-67
106017,3546,7,-59
110541,13277,5,-13
113097,717,8,-26
101512,10491,12,-27
113651,1181,9,-36
105313,11128,9,-55
111114,9822,5,-40
111838,4146,13,-51
108353,3828,9,-34
106764,3853,5,-34
103087,2193,9,-45
105271,7749,7,-73
108901,13775,4,-71
100595,9896,16,-92
109195,2982,16,-63
102477,13475,1,-77
109759,10512,16,-79
105033,1702,13,-96
104122,4396,4,-10
108869,3124,4,-7
113583,12591,2,-47
108912,8141,11,-69
113697,1983,9,-64
109461,8765,3,-45
104265,3133,7,-66
114851,5355,5,-42
102386,5293,7,-13
111827,11904,16,-46
109065,13039,14,-63
106399,3362,3,-78
111996,11168,15,-29
102655,11189,18,-4
110582,2553,12,-75
108886,2522,18,-82
107484,10715,10,-82
109242,3566,2,-63
104587,4882,1,-32
102717,8806,13,-3
107217,12052,10,-81
113051,9568,12,-84
102185,13557,2,-4
106987,9374,8,-11
101425,8294,15,-82
114438,14812,8,-72
107085,12462,8,-54
103396,1395,16,-31
105301,686,16,-88
105134,9527,19,-30
108364,12173,14,-15
110555,6729,6,-42
110718,11161,3,-13
110099,12512,6,-14
107237,338,8,-3
105247,14530,5,-91
112804,10964,18,-27
107361,5092,5,-94
106769,9880,10,-45
100507,1314,14,-7
113680,7272,7,-34
101392,10172,8,-89
111811,10211,14,-68
108099,3497,4,-97
106374,6648,9,-14
101570,4648,1,-99
109652,9756,12,-60
111347,1956,13,-11
113452,1924,11,-72
106866,6976,9,-18
114513,11425,18,-52
108742,11417,4,-88
113049,3899,17,-77
100006,514,18,-10
113453,13924,6,-42
105887,13325,11,-47
114122,13380,9,-98
111497,8154,5,-85
112430,11419,11,-45
111183,4297,1,-68
107059,3402,2,-15
111795,8886,5,-7
112995,9594,17,-1
113406,10530,14,-10
113974,13497,9,-10
100464,11494,1,-4
110815,7906,17,-98
100115,14406,4,-13
108234,2303,6,-88
104842,4161,5,-32
112546,5758,8,-97
101928,454,16,-20
112009,4166,17,-3
109156,3363,10,-53
106934,12995,3,-42
108246,88,3,-66
101571,14762,17,-26
104096,14449,4,-78
112353,4577,17,-36
106202,1676,3,-62
109293,13162,17,-50
112228,150,7,-25
100310,3231,15,-36
111736,4384,16,-85
100769,176,2,-97
113964,9323,6,-78
104395,3933,2,-90
100023,13422,1,-8
113696,2646,14,-57
111239,8758,18,-87
100754,10793,9,-16
114195,696,14,-87
102951,2471,1,-39
102382,5208,3,-20
108685,12535,6,-65
113958,5001,1,-65
106212,13716,1,-82
114280,3958,10,-13
114996,7044,1,-64
106306,14651,4,-58
111072,5201,1,-50
109944,8829,14,-20
114806,1749,16,-71
114142,5776,12,-42
107698,8339,3,-67
107155,12911,15,-7
105182,14561,11,-87
110212,1928,6,-57
108289,3188,4,-50
105841,346,15,-92
107990,1714,2,-44
114148,6149,2,-25
109055,1966,5,-36
101903,4727,17,-53
107583,2356,18,-26
112176,10597,10,-39
106732,280,19,-66
113147,12220,18,-81
111982,4038,11,-83
113562,10797,6,-34
106618,7388,3,-60
104067,12702,8,-80
107009,14376,19,-45
111256,3818,8,-56
111587,8299,2,-28
100288,9253,14,-47
110057,7228,10,-61
110085,5176,5,-58
104529,13236,15,-76
109715,4449,8,-89
112756,14191,18,-13
114740,6397,14,-66
107876,11813,16,-32
104097,1944,4,-20
105455,567,12,-89
111622,9278,8,-21
107298,9925,17,-69
113042,10875,11,-93
102672,6313,12,-66
107585,9031,16,-2
114071,9532,16,-44
102083,7980,17,-26
114909,8705,10,-77
107245,9437,12,-24
112590,6679,2,-66
108373,9399,16,-11
111562,11332,2,-62
109503,5613,14,-34
112885,10211,11,-97
103337,5914,9,-63
114276,6170,1,-95
103181,4925,13,-21
101740,7876,4,-26
112075,2344,14,-39
107706,1841,19,-53
112065,13289,3,-14
105713,2324,10,-29
105474,3432,1,-75
114769,6330,5,-62
104527,5339,19,-69
103069,13485,12,-35
104593,13369,8,-42
104854,3235,6,-78
113606,8092,10,-32
112779,5773,1,-77
106630,6825,7,-68
107430,6430,18,-67
107971,4889,14,-63
112339,3840,11,-91
110569,2960,11,-97
109681,11356,12,-100
114387,965,7,-27
103675,4826,6,-54
100082,8989,17,-55
101835,14877,7,-56
107337,375,5,-29
103697,13204,1,-94
107966,7560,16,-94
109968,13117,17,-82
113645,11304,6,-60
100320,10419,16,-91
110925,11792,5,-58
110443,573,4,-84
112133,13359,9,-26
106801,1364,6,-41
102043,2992,2,-63
108843,10337,9,-13
114630,12278,5,-13
103169,4345,17,-72
112771,3677,19,-81
112310,14836,1,-28
114739,3494,2,-71
111342,3820,9,-81
113321,782,17,-93
114246,5779,14,-28
107948,14292,3,-50
104600,7793,12,-13
111840,10253,16,-29
107095,10203,18,-55
102850,12710,8,-97
107706,9752,17,-59
107265,9629,16,-100
109473,11583,4,-75
104636,7768,12,-7
109833,4420,8,-7
100666,12286,5,-67
110264,7707,13,-47
103903,6188,7,-85
113519,6397,18,-83
110720,8750,17,-74
103077,14387,16,-75
112335,8165,3,-42
113748,3788,6,-96
105140,3588,3,-16
100766,12816,10,-96
114070,1990,14,-31
100921,6175,14,-14
100308,9799,6,-39
112614,2413,1,-24
104032,12253,6,-1
107392,5943,4,-13
107447,4744,14,-62
103602,11036,18,-22
114522,504,18,-83
109625,5436,16,-69
107849,12684,7,-2
103181,1260,6,-49
110113,784,6,-28
102502,1106,10,-52
106523,6063,6,-100
107448,13149,7,-41
104186,3846,18,-87
101572,1605,15,-93
112122,13843,12,-47
109194,3687,1,-64
106130,10767,8,-57
100530,5814,1,-63
111686,10554,17,-92
109335,11889,14,-7
107828,7528,13,-15
108349,13146,4,-80
106607,12854,17,-88
106075,11636,1,-48
104455,14549,19,-84
114928,6232,19,-46
106922,6559,14,-89
101384,11987,17,-73
106031,2816,8,-44
101696,8051,11,-98
111676,4068,3,-87
112074,12473,1,-50
105699,6797,2,-60
104368,2696,15,-89
102129,11978,7,-19
110215,9647,4,-42
105492,444,6,-23
105715,7686,8,-13
108100,5721,9,-38
114104,7296,15,-57
108984,11202,16,-28
102674,13140,12,-100
101864,13004,13,-28
100692,6583,10,-19
112838,7112,2,-47
100422,13224,4,-54
112664,4184,7,-94
112494,9388,8,-60
114581,11407,16,-76
104752,8439,15,-92
101530,6074,4,-21
114060,11269,17,-23
105915,7591,17,-47
106183,6525,7,-26
112717,8657,11,-73
104713,12526,17,-42
100863,2530,6,-64
102502,9194,2,-24
101117,4359,7,-73
114981,5555,3,-3
112889,12714,7,-2
108833,12909,13,-66
101493,210,13,-75
109321,3186,17,-43
110615,7529,11,-54
110989,3904,12,-4
109018,414,16,-86
103154,13932,15,-32
102742,10138,11,-97
113505,1849,3,-21
113582,12603,16,-87
109700,5015,6,-73
114406,2518,14,-28
106201,10862,9,-99
100653,11793,10,-50
107574,1898,8,-7
105526,4409,10,-52
109987,10726,2,-25
113503,7459,17,-83
110457,8122,8,-16
113720,2563,12,-98
108561,9732,7,-4
110013,6756,2,-29
112142,12387,15,-24
106543,7408,5,-53
101041,1405,8,-60
111134,4463,6,-88
102041,13743,9,-90
110360,5591,6,-81
112654,11359,1,-79
106952,6649,16,-45
100368,5583,12,-17
112216,6205,13,-94
111830,908,15,-29
103811,10067,12,-49
104133,9727,17,-94
110209,1670,15,-88
107212,918,8,-78
109194,9293,3,-22
102278,1668,15,-76
111274,13710,13,-87
109189,4391,18,-69
106511,972,16,-36
107475,10312,8,-91
114935,3465,14,-3
103299,11947,2,-10
102444,5529,12,-96
113371,14669,6,-45
110585,12505,11,-20
111767,7358,10,-9
113325,14342,11,-49
106985,4358,13,-58
111529,1145,14,-52
103157,1701,11,-74
108018,12661,18,-74
111323,10238,16,-12
113808,9225,2,-34
112525,4426,17,-12
113371,2993,14,-95
104629,7178,15,-100
100766,3314,4,-8
101050,2532,15,-64
102945,2804,12,-1
112474,9323,9,-91
100091,4408,17,-49
112650,6666,12,-88
107166,5834,19,-85
111306,8565,1,-66
106984,2480,19,-9
113778,2123,16,-63
100012,13616,7,-5
102220,6087,11,-76
110740,8612,12,-84
111795,6975,18,-64
112828,9820,1,-63
112896,14224,12,-93
114570,10008,12,-25
100889,5912,17,-22
112719,9734,15,-68
100448,1895,17,-23
101692,14403,8,-6
112581,12122,2,-46
108250,753,5,-61
107037,1814,8,-60
101467,9385,14,-45
112355,10343,1,-100
108132,13103,8,-66
112474,13583,17,-25
108122,6753,10,-16
103432,14220,2,-42
108853,1601,17,-48
114114,7979,14,-1
104233,12436,18,-15
102443,11039,12,-63
111503,13551,10,-34
106687,5516,9,-49
102688,2635,3,-45
104633,2332,1,-29
107917,8523,14,-83
107672,3414,3,-42
112546,10143,10,-95
106812,13225,12,-23
112511,4649,2,-44
107102,9514,18,-27
102188,10700,11,-20
100180,14946,2,-84
110444,12584,9,-30
114145,11344,11,-50
106587,12616,1,-26
103888,4458,19,-97
106791,4265,15,-72
113013,13825,4,-83
113959,14041,2,-28
113009,12405,12,-48
104353,2385,18,-84
107038,11772,10,-73
102389,4222,12,-83
100815,1846,13,-69
100837,6434,6,-38
114857,6511,9,-77
114617,5041,13,-5
114552,4276,4,-11
107451,11239,12,-33
108629,6688,2,-89
100451,8368,17,-16
104089,6531,17,-65
114898,8848,4,-85
102372,10929,4,-1
104688,6285,8,-59
103479,2218,1,-47
110138,6060,7,-74
109866,13430,18,-90
106751,7234,13,-47
102642,11629,10,-34
105895,2555,11,-57
111449,12876,5,-27
101861,9499,18,-84
113529,1036,6,-8
108535,8140,18,-59
109344,13911,6,-3
111523,7727,3,-83
110112,10913,10,-96
111009,13896,9,-8
110703,6987,13,-51
112978,9656,4,-19
114692,7544,19,-98
110028,44,3,-62
101455,6250,10,-62
107252,8883,4,-83
110925,10280,12,-63
103728,10811,16,-30
112848,3241,8,-17
113634,6678,9,-21
106484,10300,10,-22
106230,78,15,-82
114009,9526,15,-65
101410,6247,12,-48
103572,1296,2,-63
114425,6867,14,-12
107066,8092,14,-95
113556,8185,16,-95
112064,2170,13,-52
114329,627,10,-85
111104,14820,14,-73
107624,4884,11,-6
102413,10038,7,-74
109402,7469,14,-12
109841,13182,2,-89
107026,13096,14,-90
101323,10389,1,-36
110869,9931,12,-20
100396,536,17,-30
112181,10370,5,-43
101959,6075,6,-32
113827,3827,6,-15
101730,689,7,-32
100185,11302,9,-78
106082,8661,17,-12
106048,7690,1,-62
114252,1807,2,-76
107032,11816,2,-59
102202,8674,17,-20
111331,6862,3,-12
100501,3750,6,-64
113545,12845,1,-10
102871,5037,1,-67
114993,516,6,-51
104418,12793,9,-63
114331,9494,5,-95
109760,2519,15,-65
113034,7620,11,-12
110680,8745,19,-12
114510,5178,7,-7
102024,7826,6,-57
100649,8432,2,-64
105557,14371,14,-34
101413,7769,14,-19
114239,9175,5,-79
106092,12099,15,-93
107841,8644,17,-65
113615,4958,4,-3
107709,7996,8,-89
104578,3783,16,-83
108417,12773,7,-92
110157,10539,18,-42
110489,13698,14,-14
108627,4226,18,-37
105653,9870,11,-94
109262,12653,9,-64
100205,2882,17,-20
109332,5923,1,-37
100744,843,6,-60
114816,12783,5,-95
102278,3226,7,-69
107924,11303,7,-58
109505,4814,13,-18
110262,9062,14,-77
108405,83,15,-86
103189,913,5,-60
110870,12827,16,-69
100131,9166,17,-10
113519,3419,6,-9
100688,2717,11,-44
100722,4346,16,-33
102997,14566,15,-92
100953,3348,16,-86
112293,2020,3,-49
103710,10890,2,-78
109024,14134,3,-10
112488,13862,18,-11
112601,3194,19,-82
112807,11188,6,-84
114653,3895,9,-46
104375,475,3,-66
112178,1973,11,-38
114338,2198,12,-10
100435,8586,17,-87
100526,11132,10,-55
106203,9724,12,-12
112524,8839,8,-79
109227,7096,2,-17
113612,12337,9,-83
104671,5227,17,-51
104372,5931,14,-3
114011,6846,6,-5
100330,8804,4,-26
109742,2479,2,-100
109585,8276,1,-77
105809,3311,18,-26
100124,7985,10,-59
103401,2360,10,-81
113855,3139,17,-35
106451,13730,19,-30
113449,1776,5,-61
110023,2676,14,-65
113144,779,3,-54
106192,6892,16,-19
107009,6555,6,-12
103680,4534,16,-99
105302,3789,16,-69
112380,2068,6,-74
113230,14745,7,-90
104846,14886,13,-61
109858,2426,1,-64
108716,10967,8,-82
112890,14870,2,-91
105110,14113,2,-72
106979,2973,17,-5
106893,304,6,-7
103206,11917,11,-51
100089,7838,5,-69
102004,906,13,-23
100776,13803,3,-81
100768,8311,4,-99
112129,14952,17,-21
114634,11208,2,-72
103783,5074,15,-33
107754,13921,13,-26
100936,9045,16,-67
110970,1685,11,-46
112006,14578,1,-80
102204,12332,4,-17
103167,13825,18,-30
110857,13663,6,-73
114150,14079,8,-79
103761,4585,17,-4
104915,8542,19,-83
112920,2144,11,-87
113779,12140,2,-1
102401,1159,9,-19
110236,12491,16,-75
101814,170,9,-73
111436,3270,2,-66
112236,3411,10,-83
112219,12450,8,-36
100710,2795,14,-29
100941,2245,19,-67
103513,4902,19,-62
106522,13857,6,-36
114377,5653,6,-26
112832,9494,9,-96
111435,8978,7,-8
114975,12871,9,-10
112235,3454,14,-51
104136,10149,8,-47
112572,14407,5,-85
111893,2911,17,-50
108855,1045,16,-40
106481,5820,3,-38
106186,13505,2,-100
103828,9153,6,-77
112012,2116,1,-58
104693,8986,15,-21
107755,6075,1,-60
100435,8531,16,-84
114614,6024,2,-30
103404,5038,1,-1
110028,2770,5,-83
101499,14197,8,-70
113287,6191,1,-23
105250,448,8,-76
114533,11081,1,-71
111782,13013,7,-80
103626,9799,1,-16
107231,424,2,-82
103552,6229,1,-10
110815,4059,14,-12
100588,10019,2,-85
114846,6110,1,-82
112736,9552,7,-85
102179,14680,5,-2
114710,861,12,-39
110462,2357,7,-82
100072,2684,12,-42
106530,12435,5,-57
100010,7921,14,-26
109576,14968,5,-29
110308,394,9,-17
104473,13261,7,-91
108328,8327,3,-11
109581,12417,11,-71
111027,10372,5,-77
104603,1223,3,-62
112990,2916,8,-98
105908,14968,3,-84
112133,3069,5,-94
110381,10609,17,-59
111037,13373,10,-27
110909,4255,9,-6
103488,9253,17,-46
108882,731,3,-83
102883,6472,19,-83
113700,8734,16,-9
112225,2298,5,-49
102189,11552,19,-30
107510,6818,5,-85
106172,7341,11,-21
110825,11422,14,-17
102035,1417,7,-22
102563,4803,5,-71
100510,14989,11,-91
102023,14919,6,-94
110912,13283,16,-37
105566,13283,11,-85
110754,8927,19,-99
113260,8959,1,-96
106840,12316,14,-89
109926,532,17,-57
111772,5841,14,-54
111756,1719,14,-43
104358,9862,17,-51
114925,6022,10,-13
103614,13911,9,-24
107810,6149,11,-85
108306,4891,9,-3
111050,8219,8,-86
112472,7231,2,-68
114357,2709,7,-5
113190,11870,6,-42
111899,4082,10,-66
105463,8012,18,-53
112940,6946,2,-31
114643,10928,12,-36
102937,4671,9,-68
104732,11166,9,-96
102480,7709,1,-60
111609,7112,15,-38
105554,605,14,-18
110873,7207,10,-85
105070,7018,14,-56
113270,5066,7,-37
100312,1250,18,-30
104192,13875,10,-87
103894,2846,16,-33
106236,12962,2,-6
114181,3279,10,-80
105554,5281,15,-33
106906,2710,14,-50
109555,6886,3,-100
110475,5655,18,-54
103873,11816,11,-14
113454,1187,6,-5
110095,11322,8,-76
101315,7900,5,-58
107828,8119,15,-48
113363,3329,14,-21
102788,13097,1,-97
108975,4411,6,-15
106839,4711,4,-52
111945,7844,16,-37
113087,14307,12,-70
113947,12439,8,-83
110833,4296,19,-65
101022,7877,10,-23
105411,8876,15,-17
104775,12776,5,-58
113719,10817,3,-48
109824,2642,10,-18
109971,9070,11,-53
103730,13298,9,-12
101164,5728,3,-33
108513,8444,16,-77
102461,4982,13,-58
105206,9987,9,-3
108177,7071,16,-51
106437,13552,14,-39
108833,2575,1,-48
105218,916,3,-26
106776,432,6,-15
103236,3619,9,-27
103959,13783,9,-29
108793,3685,11,-29
100821,4105,13,-19
105747,13133,16,-36
114403,851,14,-74
102153,10508,9,-67
108240,2595,15,-99
111426,1035,17,-62
113167,10256,13,-36
108969,6582,3,-47
103102,7693,19,-55
108019,1890,9,-20
113227,13748,12,-11
108834,7948,18,-28
110269,14956,8,-27
101429,3877,5,-18
112979,2569,19,-32
110798,2495,8,-70
110201,1338,18,-6
112447,3294,11,-72
100284,10258,18,-58
108450,14313,16,-90
114012,4634,15,-11
102582,13259,2,-91
107898,5908,13,-42
107940,9922,3,-32
110095,4549,4,-49
