SK_ID_PREV,AMT_DRAWINGS_CURRENT,AMT_PAYMENT_CURRENT
556,284.41,1421.26
11095,8690.71,4557.24
5680,9232.75,1960.73
11658,5867.65,4370.3
1260,3684.32,4452.54
8758,658.55,869.38
6182,4316.22,3496.08
5064,468.17,1927.88
6779,2772.66,2453.76
2192,818.88,222.24
13968,9374.72,644.66
1478,209.96,691.18
5376,1464.42,1341.72
14946,1530.72,1083.57
7208,2566.32,3761.11
8947,7808.47,2105.69
12239,4115.21,1254.1
7501,3196.44,4207.69
14563,9710.55,3503.83
2879,1310.57,4254.31
2300,423.04,4701.97
2679,4736.39,3661.73
13087,4794.27,2369.44
8533,3488.67,4626.07
1765,5768.22,4903.3
5902,1021.16,1081.28
13704,9336.32,2849.4
12689,4417.65,4254.85
8138,7993.84,4511.46
10007,9466.97,2220.27
9247,9933.35,1988.99
14960,1098.47,1793.53
4771,3514.63,900.02
6161,2731.18,2583.44
9419,2231.03,974.65
2348,946.32,353.49
9826,2549.87,3526.32
476,2766.58,4388.03
1814,8926.47,2923.88
12725,3331.4,4660.27
9066,2405.74,3699.5
9987,5075.5,3606.96
2287,3282.91,3836.71
1929,531.59,2896.37
4432,848.03,4106.66
7834,2655.72,1453.11
6668,4776.59,1624.85
8057,6388.68,4248.2
3368,1480.62,734.37
9157,9815.16,3377.4
13381,9971.89,3347.2
12918,4451.93,2281.0
9129,3697.64,813.58
3093,2869.44,2567.51
12250,3954.48,3074.7
14635,5765.35,252.64
4209,143.5,718.51
10780,4595.95,4397.38
14630,3719.26,335.12
8564,6418.55,4936.15
336,3616.51,1672.99
9729,6867.14,1225.24
283,3405.78,3272.95
5331,9761.95,3133.85
9889,3294.1,2838.49
4472,1713.21,457.72
2708,8357.73,3472.44
4846,184.97,3113.47
12473,931.94,2978.0
11518,9416.56,3171.98
8368,7215.98,3812.32
9754,7961.76,3913.63
6502,5665.35,2348.58
2348,3921.42,1885.54
12241,6091.97,4631.38
13825,9257.88,1697.8
13408,8828.2,2250.89
11832,2282.63,958.32
3078,953.31,1003.1
2293,3711.55,3600.03
12602,4848.65,4421.11
7217,6756.82,326.18
13317,3632.36,3983.2
3955,3287.26,2266.59
14209,3695.14,1480.36
3541,3932.18,4920.8
14503,5212.85,3101.62
10837,344.48,4656.91
2222,4265.02,4517.96
4650,1967.02,993.33
2190,2861.1,1858.7
12298,9519.49,2888.79
12380,4469.37,4142.45
12371,3727.62,2427.06
14847,9116.86,2251.08
6698,5649.74,316.34
720,3461.82,2885.38
8560,7963.82,1327.78
14386,926.3,1004.22
1811,7864.81,765.45
564,2484.81,3067.85
4640,1129.52,4450.43
5611,5908.7,4978.09
1639,3116.14,2985.62
9931,2185.97,2059.06
4664,304.77,3727.27
8125,4652.3,2292.06
1161,1341.84,2156.96
42,3501.9,1419.52
7044,4470.42,2612.59
5467,4734.76,1066.49
3109,9137.37,1756.99
9267,508.86,2389.28
10797,2449.99,1062.65
4046,3404.97,4162.7
1497,8918.94,3900.9
12308,3006.05,4853.48
3539,5286.7,2368.01
6190,8850.08,1603.82
11999,1974.6,891.13
9361,9377.35,2342.36
7303,816.6,1659.23
3596,8409.87,1645.53
9643,5944.54,1042.09
11100,8855.44,293.59
14921,6769.38,1079.03
404,1193.14,4516.99
2656,9186.41,3392.8
9863,4072.27,4171.11
11063,9986.16,3843.55
6366,2237.53,631.07
12582,8608.44,2910.43
11007,5494.94,4745.61
4561,7501.43,3584.14
6716,8655.63,3866.67
4624,1808.98,2042.43
8885,1548.13,4165.83
6096,2843.98,522.51
10584,7255.94,2228.94
12019,7032.81,1836.72
9051,1274.95,2791.61
14053,1242.34,796.16
6064,9040.53,2856.55
4139,6078.86,4989.32
4678,4489.5,4632.99
8561,7231.59,2076.75
9073,2451.97,2160.68
14420,4312.64,1145.16
710,5473.73,406.33
1278,7629.52,1612.82
14076,4213.31,3561.25
3669,2179.0,1744.3
7203,8694.37,2063.54
4907,9653.92,2743.42
10558,7408.56,4950.15
13478,6965.64,1822.57
7093,2534.5,1070.83
3750,4269.98,2026.02
2052,2057.62,516.16
7643,2662.12,3523.13
5985,4052.83,3486.38
7000,4770.28,1918.05
4779,962.33,3897.02
13889,591.05,3371.13
3122,5981.94,2330.54
6064,3746.86,2711.0
4034,3979.55,4155.77
3497,4098.76,3674.07
14774,5155.28,3001.15
7010,3330.53,4849.93
4152,1056.17,1196.93
11152,620.12,1132.2
3930,9319.39,4575.8
8173,456.11,3805.82
9848,8535.84,3362.16
12254,4788.5,3818.21
4923,8129.92,2178.85
12401,6121.61,3122.52
6252,9593.82,1564.46
14032,2036.91,1146.82
2870,9486.02,3351.82
13757,2693.89,4216.67
13702,5631.98,4315.05
9691,2987.82,1243.0
11578,4439.34,953.01
9623,2028.89,4404.8
13588,7730.06,3264.16
4806,8435.29,2453.93
4395,4410.54,2264.4
10556,4212.31,118.67
11229,666.34,3577.17
12925,867.46,851.21
5319,4784.19,1410.89
5619,2897.39,775.43
5944,8036.62,1196.87
13010,3997.43,2957.1
1191,1295.87,275.6
11855,9162.22,142.75
2654,1010.91,2314.21
11491,6998.83,3574.44
12187,4843.65,3440.85
4715,8977.09,2665.68
826,3383.89,3121.29
13403,6741.66,1506.76
4293,6143.91,648.4
4775,461.04,4748.79
8543,697.64,2919.95
12202,6932.64,286.33
14108,1148.51,2580.03
3010,429.67,910.68
2720,2237.01,4925.39
10323,5621.49,1423.12
1152,6322.08,2887.9
35,1461.35,2300.55
14701,3831.38,4762.84
4103,9873.69,695.82
562,3989.71,1044.39
13912,9284.64,4347.59
3020,3501.07,4457.79
6739,3606.73,4765.26
5135,8252.76,3051.54
13626,833.0,2575.84
1087,7677.16,1850.24
12149,9345.98,3671.27
10246,4289.73,1489.59
14276,5091.67,3304.32
14137,5341.72,1243.25
5413,7540.59,1987.16
4119,8744.97,3061.56
8404,8093.5,640.94
5133,2359.18,1190.99
756,4246.97,2561.46
14990,716.11,3864.77
3550,8309.35,1794.44
8124,1008.47,2637.05
3327,8023.51,4509.61
1970,8558.77,3634.47
10058,5615.54,4689.19
14698,7405.82,4912.82
11286,1487.23,836.51
13170,6644.79,1168.37
1697,9511.65,4962.84
2465,1687.34,2262.37
8413,9891.38,4541.83
7716,4289.16,191.58
8441,880.69,2745.95
4025,3542.4,4992.12
2466,539.55,1635.97
9050,7051.46,349.46
2936,6162.54,2906.47
11222,998.69,4409.72
11969,3442.56,459.58
3733,3301.18,4718.93
10306,5384.52,230.88
5845,5100.93,2572.04
8117,8988.87,3675.63
11980,8025.44,333.89
6833,3688.68,2045.14
10558,9287.05,1772.59
12665,4381.17,1238.28
2309,847.39,1328.9
1479,9286.95,4737.57
9305,3668.17,2185.65
7529,5370.59,390.96
11181,6213.4,3171.62
8699,116.07,3086.3
11667,9315.56,3699.55
2642,4058.43,4410.89
14515,4430.66,3322.0
2213,9134.09,118.01
128,2166.04,3785.89
11975,4832.82,4086.9
14551,2552.17,2904.93
8176,882.72,3634.07
12413,2229.56,650.04
12679,3746.19,1919.07
11976,6203.08,3968.36
12402,5933.92,3682.28
325,1378.61,4784.06
13275,8883.28,4422.51
10918,2110.64,2160.91
4003,6609.95,816.02
1605,2208.69,4451.89
8255,2211.91,3589.25
4600,7359.71,4534.27
10112,4186.48,4483.54
9019,9944.27,869.16
4554,8536.44,1241.31
13164,7577.5,2654.69
8190,896.01,406.63
8487,2631.24,1581.96
3278,8724.96,521.03
7802,4720.61,3045.6
3055,8838.95,4945.82
5989,8436.19,3010.82
4290,8029.03,3647.11
7758,1747.92,4765.7
5078,6100.44,3399.86
14559,7634.99,1559.21
9888,4859.85,2529.95
11570,1616.18,4100.93
12165,7025.73,3985.31
12155,297.07,1414.33
13572,1474.66,1247.12
4306,8956.16,4567.31
11246,571.72,2376.19
5326,9989.04,4325.4
3567,4736.81,2457.51
8259,8307.63,2587.68
13633,9734.88,3752.4
13562,355.9,4341.69
9727,8531.48,4442.28
10516,9718.35,1935.8
4922,716.36,3934.15
8824,4781.43,1649.86
8420,1929.33,2039.27
3563,1798.56,2168.25
712,3957.88,3023.41
2039,2451.41,3909.56
10701,3805.83,4578.41
694,481.12,1645.23
3011,9084.58,3929.62
633,6704.67,1720.84
6546,2149.18,1868.66
6262,9812.58,2415.08
5660,2575.41,4650.96
4515,9445.8,2011.71
8383,2611.49,4529.3
2165,3557.5,4029.44
5104,1763.92,697.27
1349,1642.7,2371.92
3804,4956.35,3787.14
12905,4321.91,1937.6
11853,5370.16,4601.39
1666,4508.91,2056.5
8085,6762.21,192.61
8428,6747.3,2086.58
5314,5566.75,3336.29
4519,5138.65,685.74
130,6262.26,259.45
10286,4962.38,721.5
2788,3026.25,4174.77
13601,7065.41,644.15
11971,846.26,2976.23
10083,3544.47,1491.55
3714,6620.99,4314.87
5285,9268.12,1914.29
8951,1737.0,359.04
9210,9371.8,460.45
8109,7893.04,4577.33
8644,4126.37,524.79
7560,2983.87,4654.8
1823,7795.89,2355.51
5920,1604.05,3666.76
11971,5338.68,4071.67
6051,3672.84,3549.39
10698,8546.43,3755.47
11982,359.97,2253.68
3715,4156.35,2909.88
10422,1341.12,1180.51
8576,735.51,3932.18
2961,6520.08,3549.21
12076,4781.38,1812.48
5042,4863.16,3630.34
10616,7385.97,1218.45
2409,290.69,3076.49
12406,7981.69,4140.37
14609,5085.13,1197.61
4844,8454.96,1735.61
5442,6692.23,2305.45
1836,7158.55,3413.46
9358,2878.09,2911.11
8984,3019.42,4820.24
1385,7558.54,467.54
4890,5693.46,2579.8
9568,1586.46,3109.5
3491,3167.68,2700.95
5794,5070.3,4256.3
894,2846.65,2113.0
14830,738.31,1002.23
13646,5388.88,4598.01
2138,7463.24,543.62
11489,2374.78,1151.35
3541,7227.53,2749.98
435,5766.03,372.44
13838,174.14,3417.44
7538,8187.11,2297.65
14091,2998.89,927.62
8890,6558.62,2255.4
3079,2910.59,3986.27
9056,5404.88,2112.18
1760,447.98,4990.84
10714,8149.38,4932.89
14154,2797.9,4060.18
86,9234.4,3890.7
3946,6181.89,4364.25
13525,6128.31,1515.21
1912,7829.7,239.14
9752,4442.23,3779.47
7201,6053.6,4329.76
5345,8649.5,2915.35
4672,224.49,1839.58
13890,4579.42,3941.25
4568,3493.72,2525.47
10890,7871.02,840.39
7665,2421.64,3304.47
4907,7827.63,4560.22
9516,6344.7,2059.01
12687,8342.44,3318.7
13744,1495.77,271.72
431,5178.56,2813.84
204,421.16,3639.59
13214,2815.9,410.21
1553,3903.22,4195.94
13185,4823.03,2595.55
4224,7184.89,3232.57
11665,7832.4,1694.47
1562,5371.09,3363.57
4008,950.96,2676.93
7971,1336.92,3417.6
7285,7784.62,3581.15
7372,9619.41,729.12
1052,9169.05,1159.11
6467,3762.34,2553.27
12001,832.06,1740.34
3349,3710.52,3665.01
2297,9688.21,1754.42
13316,515.68,4397.47
8159,3850.2,4234.87
5428,7298.95,652.38
967,6309.25,1850.61
14849,4320.95,2216.45
7844,5115.09,4373.65
10219,6469.24,4632.57
8150,8557.58,4526.39
12767,8757.07,1457.78
13290,4765.36,2437.01
6078,5129.78,335.29
885,8434.02,2850.31
6950,2098.87,2216.65
7690,7109.33,3735.05
11416,8228.81,1970.9
1375,5172.5,4285.75
6585,4522.87,1438.88
5195,2690.01,4017.53
7545,5053.22,2805.46
10343,1478.46,2848.0
12001,1405.08,4708.77
6885,1791.34,2332.19
10459,4273.74,986.64
3715,8410.02,2802.83
12771,1554.8,2836.67
2289,833.64,2593.53
1869,1152.81,1798.95
1893,2352.69,1191.14
8333,3237.19,1524.06
9478,8707.43,640.08
6448,4551.04,4572.87
14948,6713.65,4124.95
934,7590.97,247.77
11578,473.42,1363.63
14066,779.82,422.86
4675,3356.19,1778.45
14460,9845.97,4465.84
9592,1661.73,2985.15
5939,3287.19,2916.87
4227,7001.36,4945.4
3810,3167.2,1492.14
7750,4883.26,1563.72
75,7095.79,247.24
2301,5126.85,3585.34
10901,5917.99,931.49
9028,4078.98,2338.51
4431,6228.55,806.59
13947,9450.32,876.11
5258,7685.15,586.87
7126,6095.88,2395.87
983,538.67,907.55
4695,4455.71,4942.91
6820,6320.95,3471.86
76,8539.62,3559.15
14465,5929.89,3097.56
10984,7963.36,4042.92
13642,8286.31,986.84
2996,3438.08,2688.05
12940,8088.08,3305.12
4429,7495.31,1537.31
6127,1479.89,3778.89
11919,8386.35,3871.24
11050,713.18,2039.5
12996,4826.47,482.84
12554,1015.68,3988.4
9613,1795.48,4424.4
2114,5323.48,1884.41
14865,2563.72,1700.51
622,6522.85,3849.13
8,8007.14,1064.35
2597,2860.49,2229.64
10507,2125.19,2754.64
6593,5523.6,4418.65
6663,1655.02,3678.1
11278,7940.46,4986.13
13872,5965.71,2032.46
6166,5373.45,4779.38
318,1674.89,334.66
3383,8318.26,4529.13
11922,6914.35,2564.28
14798,825.81,2692.72
4731,8790.19,1877.79
4096,8814.13,4948.77
12060,973.24,1939.52
10017,7286.87,844.22
10465,7201.65,1284.41
13622,8688.82,3786.84
9880,4952.0,4945.06
4551,2813.44,1301.79
12880,1170.22,264.04
7974,7458.23,4307.07
8838,4965.56,389.47
11872,8995.89,1685.08
6646,3107.19,530.69
11854,3371.98,3734.77
13141,7038.78,195.93
3505,2003.0,3778.18
6574,4149.54,4720.01
8615,4899.3,4721.54
4157,5407.14,652.6
2072,7195.47,472.27
843,1340.27,2358.68
9386,125.23,1216.89
11812,1008.33,1734.21
8490,9809.57,4841.44
3406,5799.12,3310.39
9133,950.99,2121.38
10292,6862.14,961.22
11350,1784.02,1200.82
7485,820.52,2874.51
4293,2404.16,4349.62
5267,4687.94,3738.39
14684,1560.01,228.89
11796,2878.94,1969.07
13757,4355.37,364.73
7354,5100.48,897.63
5505,320.16,2976.47
7951,5184.15,3065.05
2793,8457.73,3782.83
8609,6170.82,4633.42
14577,976.81,4175.51
2667,6816.0,889.94
2376,9973.73,4272.37
14695,1497.44,3432.07
11981,3910.29,181.65
6984,5647.81,4045.09
777,8216.85,2472.07
14069,7352.05,3500.7
12046,9195.07,397.19
10492,362.17,4736.77
4032,9870.01,4194.51
4776,6454.21,280.07
14982,1207.28,1266.37
9577,364.97,548.8
7980,8762.38,329.72
14015,2348.15,2326.53
2350,6955.96,4442.65
1241,6787.51,3626.83
12276,9049.51,2798.67
6692,3596.94,1180.13
6009,7063.44,997.6
13981,963.22,769.76
1423,429.12,2667.88
7957,4743.42,2556.39
3837,5118.42,4630.67
10432,1212.49,4651.5
7528,6636.59,2553.23
2360,5067.04,4850.38
9264,2054.31,958.14
1923,153.33,428.97
11793,5119.21,3305.57
13477,6701.32,989.55
9561,9074.48,1928.93
12266,3212.29,2483.44
10776,4814.51,790.09
13466,1868.02,3153.24
9267,3970.12,744.37
3716,1063.07,4813.39
11745,2710.05,2587.44
3674,3908.37,4123.56
3730,5577.87,2319.54
5952,8010.73,2904.75
7151,3068.56,3334.24
11034,9577.73,1933.36
5421,5873.89,550.7
3527,9279.5,2460.7
5748,9326.42,2229.55
11771,1213.11,3249.5
11776,4726.34,4686.27
4812,7670.32,3410.09
6354,7126.07,2945.96
1650,3760.39,3904.01
9116,167.26,4453.11
11412,1290.5,1129.24
10957,6053.83,4771.67
9452,5923.56,4343.3
6779,1327.45,703.11
11329,7000.8,4837.31
2450,441.99,2425.11
5809,848.0,2188.38
1913,9035.9,4516.19
8933,7052.56,760.91
13018,5255.52,1011.68
1280,1498.08,1970.19
14986,6524.07,1147.67
3318,2187.12,4224.03
5433,7848.59,4102.57
14453,3748.17,2843.88
14908,2195.97,3983.92
1227,8626.79,1643.1
2376,6136.55,3802.54
6334,113.84,4247.57
6091,8787.7,1641.32
13446,3504.6,799.28
6049,1633.33,3063.42
13525,4362.94,1245.41
10682,7529.7,772.88
13638,3617.76,173.4
11670,1743.91,1653.3
8901,3564.0,1611.88
8140,2490.83,2207.46
488,7367.24,1314.48
2712,193.19,1043.8
12584,702.03,3623.11
13635,7847.29,3852.93
13740,638.94,3895.73
1271,5579.6,1958.96
196,5399.49,1446.86
10585,6239.54,3040.61
7811,4035.31,4147.85
3643,1263.86,1305.07
6082,814.21,3823.47
8409,9374.03,2154.56
12678,8044.13,3462.41
1720,4466.69,1180.08
14319,8527.43,3840.56
12343,3473.87,544.01
3135,9930.53,1404.54
102,1617.48,3742.0
14905,5388.06,4205.16
9778,5529.52,4232.28
11355,5143.12,991.36
7583,1820.34,603.34
13439,8584.62,1209.7
12130,5127.62,1746.71
5532,6661.95,2564.87
2704,8461.73,1142.16
7412,2887.83,3016.54
7749,3961.27,1435.91
2954,3985.71,3642.89
9610,2555.68,477.05
3,3370.22,4500.14
2034,5900.46,1319.74
4982,4412.73,3774.88
3860,7955.64,2216.59
8255,7094.93,1866.82
1467,4878.93,2647.12
5258,9567.58,2084.42
8354,8524.21,705.25
1409,8408.66,2275.21
3150,3301.28,2391.17
12987,4427.53,4178.99
5281,1886.05,657.66
9366,9153.37,3554.01
8518,3887.1,3395.96
6044,7460.01,4971.69
3987,5236.75,757.31
11715,4363.23,2765.33
14500,2447.76,4474.09
12351,9117.38,3852.01
8479,2509.2,1309.82
8283,5855.06,3508.05
6387,8824.07,3819.39
7482,7855.66,3303.67
1769,5988.1,3272.12
12330,7589.1,1233.43
10981,6357.11,924.76
9769,635.61,430.42
383,925.74,1094.85
9451,6481.8,791.09
4920,6728.61,2923.25
14770,806.46,349.38
8632,1783.63,526.18
9778,2824.09,3739.15
311,253.08,1654.04
3901,1049.71,1781.98
1185,8309.54,4005.72
11113,7437.1,3392.12
3434,713.41,4622.39
12901,4487.0,737.85
3153,7343.02,888.62
13323,3379.08,4507.48
13989,7254.76,2902.34
7558,8550.87,3305.01
5625,8957.39,1494.25
7106,3480.34,341.33
9622,303.55,2436.87
2882,1705.53,4870.56
12596,1322.51,4572.31
1625,598.55,4844.03
2117,1122.56,2725.73
2092,1202.43,330.2
50,9113.47,913.07
1896,8381.55,1921.2
6868,3178.95,4763.2
13788,2558.7,2200.25
821,8865.19,975.54
9734,1777.59,1413.19
9046,3473.63,702.28
13044,4442.96,2187.92
190,1943.32,3778.74
3858,5033.96,3506.82
13621,9989.17,2280.02
2584,2149.13,4722.74
1159,1655.75,3583.95
4923,4345.31,1464.64
14238,5241.34,1552.27
6928,6794.56,2099.09
14992,7643.84,344.55
10978,9522.98,1898.64
12337,8551.64,1178.82
5338,9873.15,1877.52
1058,7590.76,1496.52
1069,6018.32,2615.57
434,4938.72,2599.26
5101,9739.47,4703.99
7308,863.86,3417.46
2499,1375.99,3744.73
11593,9281.66,4666.33
6769,1731.99,2084.85
7828,4561.34,624.22
1800,9344.93,267.44
6864,7324.8,307.92
13816,5446.19,3128.81
8528,6353.03,3544.95
12721,5697.0,179.13
9009,115.4,4634.38
5829,1398.21,250.61
11999,2649.86,398.79
8876,7090.86,2966.22
4247,5143.55,4278.99
10766,9673.59,3690.54
2076,3155.07,4318.44
12495,2160.14,4253.69
13163,491.75,3810.89
10779,3157.16,345.14
12247,9818.72,1122.41
5634,4365.76,4244.01
638,6756.42,1009.99
11649,9475.53,4067.37
11565,5394.25,2268.05
5900,6300.52,490.32
12530,2736.69,1613.14
7072,5182.69,4120.68
6513,6422.33,4906.71
11549,3628.23,2723.41
14552,1996.67,1750.31
13833,926.96,2962.67
13400,3834.97,2178.09
6846,5477.92,3911.63
3788,3752.78,4991.61
115,2618.9,1292.08
5256,8959.91,869.55
4078,7392.2,3174.1
10486,5485.89,1282.48
115,9123.28,2120.77
1549,7927.74,3445.35
7721,6580.8,2750.51
6259,6479.73,3819.07
13502,9866.59,1707.87
4757,2613.41,619.87
7968,1992.63,3710.26
868,5217.31,3928.68
8291,1648.36,2255.81
14375,6030.95,4465.14
1948,8920.25,4941.94
13143,3073.46,3138.37
10633,8138.62,4960.67
2944,597.28,1963.47
364,4277.14,312.81
10812,3864.75,4978.01
6175,6074.34,2271.58
1212,5859.67,1147.86
4919,8316.4,4408.51
9721,9654.72,1975.58
4531,7244.39,2505.72
773,8252.53,1602.3
2446,8218.76,4392.68
12408,698.03,2154.88
9661,9855.83,4298.83
9924,6818.93,1791.31
347,949.0,4532.23
6311,7572.4,2640.97
8079,5943.76,1786.69
3959,8984.98,1880.49
2101,4710.84,2732.74
9874,8663.04,887.72
7827,1004.79,3202.22
7423,4524.0,4274.29
14635,6487.2,4780.14
11686,4972.36,1551.23
14631,6894.86,3737.48
11338,796.68,1622.92
13020,4029.51,1309.29
14480,3647.98,1005.31
3475,4567.45,863.13
4926,4210.16,4269.31
10943,7209.01,2106.7
12279,231.89,1321.55
13308,1813.5,2908.09
3867,8814.73,2194.73
7498,247.91,3707.1
540,2761.09,2327.57
14772,3380.53,1188.62
11094,4770.84,1912.38
1306,2430.29,4607.7
12653,8190.3,2007.93
8190,9462.07,3425.6
9463,5563.36,4214.96
11964,6855.98,3572.6
360,2825.83,419.4
1898,4372.98,4694.68
14926,5192.65,2762.13
9114,7483.25,2093.48
6006,5836.06,3617.69
2047,2501.61,2706.66
11614,6745.74,3325.28
6479,2055.98,1034.34
8768,3673.42,2613.32
1456,6458.21,4103.17
14308,1313.64,119.77
14708,6025.84,988.53
14307,5502.87,3800.07
12895,5515.35,767.48
9803,4577.99,2990.11
2891,7423.82,1460.08
11352,8434.28,4802.73
2571,3847.94,3258.07
8035,7166.85,2045.44
1385,5443.33,2601.63
10593,2736.3,874.26
12123,1955.79,2454.59
5523,9123.72,1567.26
5282,7878.18,2061.38
6481,7613.16,2642.2
5217,3453.18,4230.43
13358,2041.56,4092.52
3141,517.51,424.0
9138,1582.07,872.22
6284,2009.46,933.98
12427,9694.82,2251.04
14386,4788.5,4341.52
13287,9577.07,3283.64
11179,1527.3,613.29
768,2091.7,4138.86
5101,4612.06,996.18
2394,8964.56,4137.07
4046,7270.72,106.44
3880,4376.61,3887.37
5662,2699.65,147.64
7829,7149.95,282.43
8325,6270.95,3078.88
3501,9337.75,3290.65
1492,9203.77,1144.64
14712,2446.46,1199.95
8033,3854.69,4582.02
14774,8704.42,4037.87
1472,3509.42,1871.91
12619,4073.54,4451.31
6215,4441.75,3164.29
3618,7713.36,1107.72
10330,1341.62,1127.62
8726,5446.48,780.45
14167,6555.25,4217.79
6497,8175.77,3297.17
12713,3191.42,3788.24
12860,2460.26,2646.74
6767,8540.05,2909.51
5306,9154.56,3223.84
5360,1602.87,2099.02
2690,1974.87,164.37
1043,2542.0,762.77
2854,4916.68,3850.06
9205,3059.42,3073.57
11417,8415.01,1967.72
9060,4028.33,2043.64
6462,5373.85,2668.35
4164,7770.08,3739.78
4956,2827.21,3265.22
3631,4715.86,3258.68
7160,6546.95,1781.97
2700,8351.68,3838.04
3982,8995.83,2232.75
3950,6775.93,2971.29
3552,632.03,1529.81
4610,2698.27,2881.95
5016,7330.65,2801.75
4812,5345.17,2206.59
1547,7512.96,4509.16
13276,7145.46,3688.33
2655,3326.43,2965.33
1569,6092.42,3794.93
12097,848.76,3067.24
14948,768.6,3498.66
9521,3686.41,589.79
2475,9329.7,559.36
5789,6184.15,4861.72
8301,6537.68,288.5
11456,9845.57,3627.15
7529,3968.03,1752.5
5175,6621.99,4543.56
13035,7035.42,1800.35
6382,3498.86,2168.86
9384,5288.63,1691.28
5077,6511.98,471.15
11606,8828.98,2193.18
14049,733.89,3485.19
6961,8948.42,720.01
5799,217.06,676.49
6243,3847.89,2615.9
7453,8869.94,4080.55
11876,5820.75,3096.28
3818,6382.49,2219.14
